year,lgID,tmID,hW,hL,hT,hOTL,rW,rL,rT,rOTL,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
1914,NHA,OT1,9,1,0,,5,5,0,,,,,,,,,,,,,,2,0,0,,6,3,0,,5,3,0,,1,0,0,,,,,
1914,NHA,QU1,8,2,0,,3,7,0,,,,,,,,,,,,,,1,1,0,,4,5,0,,6,2,0,,0,1,0,,,,,
1914,NHA,TBS,6,5,0,,2,7,0,,,,,,,,,,,,,,1,1,0,,6,3,0,,1,7,0,,0,1,0,,,,,
1914,NHA,TOO,5,4,0,,2,9,0,,,,,,,,,,,,,,0,2,0,,4,5,0,,2,6,0,,1,0,0,,,,,
1914,PCHA,PO1,6,3,0,,3,6,0,,,,,,,,,,,,,,2,2,0,,3,2,0,,2,5,0,,2,0,0,,,,,
1914,PCHA,VA1,4,4,0,,0,9,0,,,,,,,,,,,,,,0,4,0,,2,3,0,,2,3,0,,0,3,0,,,,,
1914,PCHA,VML,7,2,0,,6,2,0,,,,,,,,,,,,,,4,0,0,,3,3,0,,5,1,0,,1,0,0,,,,,
1915,NHA,MOC,9,4,0,,7,3,1,,,,,,,,,,,,,,1,2,0,,4,3,1,,6,2,0,,5,0,0,,,,,
1915,NHA,MOW,5,6,0,,5,8,0,,,,,,,,,,,,,,4,0,0,,3,5,0,,3,4,0,,0,5,0,,,,,
1915,NHA,OT1,8,4,0,,5,7,0,,,,,,,,,,,,,,1,2,0,,5,3,0,,5,4,0,,2,2,0,,,,,
1915,NHA,QU1,7,3,2,,3,9,0,,,,,,,,,,,,,,2,1,0,,5,3,1,,1,5,1,,2,3,0,,,,,
1915,NHA,TBS,8,4,0,,1,10,1,,,,,,,,,,,,,,0,3,0,,3,6,0,,3,3,1,,3,2,0,,,,,
1915,PCHA,PO1,8,2,0,,5,3,0,,,,,,,,,,,,,,4,1,0,,4,2,0,,5,2,0,,,,,,,,,
1915,PCHA,SEA,7,3,0,,2,6,0,,,,,,,,,,,,,,3,2,0,,1,5,0,,5,2,0,,,,,,,,,
1915,PCHA,VA1,3,4,0,,2,9,0,,,,,,,,,,,,,,2,3,0,,1,5,0,,2,5,0,,,,,,,,,
1915,PCHA,VML,5,4,0,,4,5,0,,,,,,,,,,,,,,1,4,0,,6,0,0,,2,5,0,,,,,,,,,
1916,NHA,MOC,5,5,0,,5,5,0,,,,,,,,,,,,,,0,2,0,,7,2,0,,3,5,0,,0,1,0,,,,,
1916,NHA,MOW,3,7,0,,2,8,0,,,,,,,,,,,,,,0,2,0,,3,6,0,,1,7,0,,1,0,0,,,,,
1916,NHA,OT1,9,1,0,,6,4,0,,,,,,,,,,,,,,1,1,0,,6,3,0,,7,1,0,,1,0,0,,,,,
1916,NHA,QU1,7,3,0,,3,7,0,,,,,,,,,,,,,,1,1,0,,2,7,0,,7,1,0,,0,1,0,,,,,
1916,NHA,TBS,4,3,0,,3,4,0,,,,,,,,,,,,,,2,0,0,,4,5,0,,1,2,0,,,,,,,,,
1916,NHA,TOB,3,4,0,,4,3,0,,,,,,,,,,,,,,2,0,0,,5,4,0,,0,3,0,,,,,,,,,
1916,PCHA,PO1,8,4,0,,1,11,0,,,,,,,,,,,,,,3,5,0,,3,5,0,,3,4,0,,0,1,0,,,,,
1916,PCHA,SEA,11,2,0,,5,6,0,,,,,,,,,,,,,,5,3,0,,5,3,0,,5,2,0,,1,0,0,,,,,
1916,PCHA,SPO,6,3,0,,2,12,0,,,,,,,,,,,,,,4,4,0,,3,4,0,,1,6,0,,0,1,0,,,,,
1916,PCHA,VML,12,1,0,,2,8,0,,,,,,,,,,,,,,4,4,0,,4,3,0,,5,2,0,,1,0,0,,,,,
1917,NHL,MTL,8,3,0,,5,6,0,,,,,,,,,,,,,,3,1,0,,6,3,0,,4,4,0,,0,1,0,,,,,
1917,NHL,MTW,1,2,0,,0,3,0,,,,,,,,,,,,,,1,3,0,,0,2,0,,,,,,,,,,,,,
1917,NHL,OTS,6,5,0,,3,8,0,,,,,,,,,,,,,,2,2,0,,3,6,0,,3,5,0,,1,0,0,,,,,
1917,NHL,TOA,10,1,0,,3,8,0,,,,,,,,,,,,,,2,2,0,,5,3,0,,5,3,0,,1,1,0,,,,,
1917,PCHA,PO1,6,3,0,,1,8,0,,,,,,,,,,,,,,1,0,0,,2,5,0,,3,4,0,,1,2,0,,,,,
1917,PCHA,SEA,8,1,0,,3,6,0,,,,,,,,,,,,,,,,,,5,3,0,,4,3,0,,2,1,0,,,,,
1917,PCHA,VML,8,1,0,,1,8,0,,,,,,,,,,,,,,0,1,0,,4,3,0,,4,4,0,,1,1,0,,,,,
1918,NHL,MTL,7,2,0,,3,6,0,,,,,,,,,,,,,,2,1,0,,5,4,0,,3,3,0,,,,,,,,,
1918,NHL,OTS,8,1,0,,4,5,0,,,,,,,,,,,,,,2,1,0,,6,4,0,,4,1,0,,,,,,,,,
1918,NHL,TOA,5,4,0,,0,9,0,,,,,,,,,,,,,,1,3,0,,2,5,0,,2,5,0,,,,,,,,,
1918,PCHA,SEA,5,5,0,,6,4,0,,,,,,,,,,,,,,,,,,5,5,0,,4,4,0,,2,0,0,,,,,
1918,PCHA,VA2,4,6,0,,3,7,0,,,,,,,,,,,,,,,,,,5,4,0,,2,6,0,,0,3,0,,,,,
1918,PCHA,VML,6,4,0,,6,4,0,,,,,,,,,,,,,,,,,,4,5,0,,6,2,0,,2,1,0,,,,,
1919,NHL,MTL,8,4,0,,5,7,0,,,,,,,,,,,,,,1,2,0,,7,2,0,,3,5,0,,2,2,0,,,,,
1919,NHL,OTS,11,1,0,,8,4,0,,,,,,,,,,,,,,2,0,0,,7,3,0,,7,1,0,,3,1,0,,,,,
1919,NHL,QUB,4,8,0,,0,12,0,,,,,,,,,,,,,,0,2,0,,2,8,0,,1,7,0,,1,3,0,,,,,
1919,NHL,TRS,8,4,0,,4,8,0,,,,,,,,,,,,,,2,1,0,,3,6,0,,5,3,0,,2,2,0,,,,,
1919,PCHA,SEA,8,3,0,,4,7,0,,,,,,,,,,,,,,1,1,0,,5,3,0,,3,5,0,,3,1,0,,,,,
1919,PCHA,VA2,8,3,0,,2,9,0,,,,,,,,,,,,,,1,1,0,,4,5,0,,4,4,0,,1,2,0,,,,,
1919,PCHA,VML,6,5,0,,5,6,0,,,,,,,,,,,,,,1,1,0,,4,5,0,,5,3,0,,1,2,0,,,,,
1920,NHL,HAM,4,8,0,,2,10,0,,,,,,,,,,,,,,2,1,0,,1,8,0,,3,6,0,,0,3,0,,,,,
1920,NHL,MTL,9,3,0,,4,8,0,,,,,,,,,,,,,,0,3,0,,6,3,0,,6,3,0,,1,2,0,,,,,
1920,NHL,OTS,8,4,0,,6,6,0,,,,,,,,,,,,,,3,0,0,,6,3,0,,3,6,0,,2,1,0,,,,,
1920,NHL,TRS,9,3,0,,6,6,0,,,,,,,,,,,,,,1,2,0,,5,4,0,,6,3,0,,3,0,0,,,,,
1920,PCHA,SEA,9,3,0,,3,8,1,,,,,,,,,,,,,,3,1,0,,5,4,0,,3,5,0,,1,1,1,,,,,
1920,PCHA,VA2,7,4,1,,3,9,0,,,,,,,,,,,,,,0,3,0,,4,5,0,,4,4,0,,2,1,1,,,,,
1920,PCHA,VML,10,2,0,,3,9,0,,,,,,,,,,,,,,2,1,0,,5,5,0,,5,3,0,,1,2,0,,,,,
1921,NHL,HAM,5,7,0,,2,10,0,,,,,,,,,,,,,,1,4,0,,3,5,0,,2,6,0,,1,2,0,,,,,
1921,NHL,MTL,8,3,1,,4,8,0,,,,,,,,,,,,,,2,3,0,,3,5,0,,4,3,1,,3,0,0,,,,,
1921,NHL,OTS,8,3,1,,6,5,1,,,,,,,,,,,,,,4,1,0,,6,2,0,,4,2,2,,0,3,0,,,,,
1921,NHL,TRS,8,4,0,,5,6,1,,,,,,,,,,,,,,3,2,0,,4,4,0,,4,3,1,,2,1,0,,,,,
1921,PCHA,SEA,8,4,0,,4,7,1,,,,,,,,,,,,,,4,3,1,,3,6,0,,5,2,0,,,,,,,,,
1921,PCHA,VA2,6,5,1,,5,7,0,,,,,,,,,,,,,,3,4,1,,5,3,0,,3,5,0,,,,,,,,,
1921,PCHA,VML,9,3,0,,3,9,0,,,,,,,,,,,,,,4,4,0,,5,4,0,,3,4,0,,,,,,,,,
1921,WCHL,CAT,8,4,0,,6,6,0,,,,,,,,,,,,,,4,0,0,,5,6,0,,5,4,0,,,,,,,,,
1921,WCHL,EDE,8,4,1,,7,5,0,,,,,,,,,,,,,,2,2,1,,3,5,0,,9,2,0,,1,0,0,,,,,
1921,WCHL,REG,8,4,0,,6,6,1,,,,,,,,,,,,,,1,3,1,,8,2,0,,5,4,0,,0,1,0,,,,,
1921,WCHL,SMJ,5,7,0,,0,12,0,,,,,,,,,,,,,,1,3,0,,3,6,0,,1,10,0,,,,,,,,,
1922,NHL,HAM,4,8,0,,2,10,0,,,,,,,,,,,,,,2,3,0,,3,6,0,,1,7,0,,0,2,0,,,,,
1922,NHL,MTL,10,2,0,,3,7,2,,,,,,,,,,,,,,2,2,1,,5,3,1,,4,4,0,,2,0,0,,,,,
1922,NHL,OTS,11,0,1,,3,9,0,,,,,,,,,,,,,,3,1,1,,5,4,0,,6,2,0,,0,2,0,,,,,
1922,NHL,TRS,10,1,1,,3,9,0,,,,,,,,,,,,,,2,3,0,,4,4,1,,5,3,0,,2,0,0,,,,,
1922,PCHA,SEA,8,6,0,,7,9,0,,,,,,,,,,5,1,0,,1,4,0,,6,4,0,,3,5,0,,0,1,0,,,,,
1922,PCHA,VAM,10,5,1,,7,7,0,,,,,,,,,,1,4,0,,5,2,0,,6,4,1,,5,2,0,,,,,,,,,
1922,PCHA,VC1,10,5,0,,6,9,0,,,,,,,,,,2,3,0,,2,3,0,,6,3,0,,5,5,0,,1,0,0,,,,,
1922,WCHL,CAT,8,5,0,,4,13,0,,,,,,,,,,,,,,2,3,0,,4,6,0,,6,5,0,,0,4,0,,,,,
1922,WCHL,EDE,10,4,1,,9,6,0,,,,,,,,,,,,,,6,0,1,,3,7,0,,6,2,0,,4,1,0,,,,,
1922,WCHL,REG,11,5,0,,5,9,0,,,,,,,,,,,,,,3,4,0,,7,3,0,,3,6,0,,3,1,0,,,,,
1922,WCHL,SAC,7,9,0,,1,11,2,,,,,,,,,,,,,,1,4,1,,3,8,1,,3,6,0,,1,2,0,,,,,
1923,NHL,HAM,7,5,0,,2,10,0,,,,,,,,,,,,,,1,4,0,,4,5,0,,3,5,0,,1,1,0,,,,,
1923,NHL,MTL,10,2,0,,3,9,0,,,,,,,,,,,,,,2,2,0,,3,7,0,,6,2,0,,2,0,0,,,,,
1923,NHL,OTS,10,2,0,,6,6,0,,,,,,,,,,,,,,3,1,0,,8,2,0,,4,4,0,,1,1,0,,,,,
1923,NHL,TRS,7,5,0,,3,9,0,,,,,,,,,,,,,,3,2,0,,4,5,0,,3,5,0,,0,2,0,,,,,
1923,PCHA,SEA,9,5,0,,5,11,0,,,,,,,,,,4,1,0,,0,8,0,,6,4,0,,4,3,0,,,,,,,,,
1923,PCHA,VAM,8,6,1,,5,10,0,,,,,,,,,,2,3,0,,4,4,1,,2,5,0,,5,4,0,,,,,,,,,
1923,PCHA,VC1,7,6,0,,4,12,1,,,,,,,,,,3,2,0,,3,5,0,,3,4,0,,2,7,1,,,,,,,,,
1923,WCHL,CAT,13,2,0,,5,9,1,,,,,,,,,,,,,,6,1,0,,7,5,0,,5,5,0,,0,0,1,,,,,
1923,WCHL,EDE,7,6,2,,4,9,2,,,,,,,,,,,,,,3,3,2,,5,6,1,,3,6,1,,,,,,,,,
1923,WCHL,REG,13,2,2,,4,9,0,,,,,,,,,,,,,,5,3,1,,5,6,0,,7,2,0,,0,0,1,,,,,
1923,WCHL,SAC,12,3,1,,3,9,2,,,,,,,,,,0,3,0,,5,2,2,,6,4,1,,4,3,0,,,,,,,,,
1924,NHL,BOS,3,12,0,,3,12,0,,,,,,,,,,,,,,1,8,0,,1,9,0,,2,6,0,,2,1,0,,,,,
1924,NHL,HAM,12,3,0,,7,7,1,,,,,,,,,,1,0,0,,6,1,1,,7,3,0,,4,4,0,,1,2,0,,,,,
1924,NHL,MTL,10,5,0,,7,6,2,,,,,,,,,,1,0,0,,6,1,1,,4,5,1,,4,4,0,,2,1,0,,,,,
1924,NHL,MTM,5,8,2,,4,11,0,,,,,,,,,,,,,,4,4,1,,4,5,1,,1,7,0,,0,3,0,,,,,
1924,NHL,OTS,10,4,1,,7,8,0,,,,,,,,,,0,1,0,,3,4,1,,6,4,0,,5,3,0,,3,0,0,,,,,
1924,NHL,TRS,10,5,0,,9,6,0,,,,,,,,,,0,1,0,,3,5,0,,7,3,0,,8,0,0,,1,2,0,,,,,
1924,WCHL,CAT,9,5,0,,8,6,0,,,,,,,,,,,,,,5,3,0,,6,5,0,,5,3,0,,1,0,0,,,,,
1924,WCHL,EDE,7,7,1,,7,6,0,,,,,,,,,,,,,,5,4,1,,4,6,0,,5,3,0,,,,,,,,,
1924,WCHL,REG,6,9,0,,2,11,0,,,,,,,,,,,,,,2,5,0,,6,6,0,,0,8,0,,0,1,0,,,,,
1924,WCHL,SAS,11,3,0,,5,8,1,,,,,,,,,,,,,,4,2,1,,6,6,0,,5,2,0,,1,1,0,,,,,
1924,WCHL,VIC,10,3,0,,6,9,0,,,,,,,,,,,,,,5,3,0,,7,5,0,,3,4,0,,1,0,0,,,,,
1924,WCHL,VMR,6,7,0,,6,9,0,,,,,,,,,,,,,,3,7,0,,4,5,0,,5,3,0,,0,1,0,,,,,
1925,NHL,BOS,10,7,1,,7,8,3,,,,,,,,,,1,1,0,,2,7,0,,2,4,3,,8,1,1,,4,2,0,,,,,
1925,NHL,MTL,5,12,1,,6,12,0,,,,,,,,,,0,1,0,,4,5,0,,5,5,0,,1,8,1,,1,5,0,,,,,
1925,NHL,MTM,12,4,2,,8,7,3,,,,,,,,,,0,1,0,,8,2,0,,4,3,3,,5,1,2,,3,4,0,,,,,
1925,NHL,NYA,4,10,4,,8,10,0,,,,,,,,,,,,,,5,5,0,,1,7,3,,3,5,1,,3,3,0,,,,,
1925,NHL,OTS,15,2,1,,9,6,3,,,,,,,,,,1,0,0,,8,1,0,,8,1,1,,4,3,2,,3,3,1,,,,,
1925,NHL,PIP,13,5,0,,6,11,1,,,,,,,,,,2,0,0,,3,6,1,,4,5,0,,5,4,0,,5,1,0,,,,,
1925,NHL,TRS,11,5,2,,1,16,1,,,,,,,,,,0,1,0,,2,6,1,,5,4,0,,3,7,1,,2,3,1,,,,,
1925,WCHL,CAT,8,6,1,,2,11,2,,,,,,,,,,,,,,1,4,2,,4,5,1,,4,6,0,,1,2,0,,,,,
1925,WCHL,EDE,10,4,0,,9,7,0,,,,,,,,,,,,,,5,2,0,,4,6,0,,7,3,0,,3,0,0,,,,,
1925,WCHL,POR,6,10,0,,6,6,2,,,,,,,,,,2,0,0,,4,4,1,,2,5,0,,3,4,1,,1,3,0,,,,,
1925,WCHL,SAS,10,5,0,,8,6,1,,,,,,,,,,0,1,0,,6,2,0,,7,2,1,,2,6,0,,3,0,0,,,,,
1925,WCHL,VIC,8,3,4,,7,8,0,,,,,,,,,,,,,,2,5,2,,4,3,2,,7,2,0,,2,1,0,,,,,
1925,WCHL,VMR,6,8,1,,4,10,1,,,,,,,,,,1,2,0,,3,4,1,,4,4,0,,2,4,1,,0,4,0,,,,,
1926,NHL,BOS,15,7,0,,6,13,3,,,,,,,,,,2,3,0,,5,4,1,,4,5,2,,5,3,0,,5,5,0,,,,,
1926,NHL,CHI,12,8,2,,7,14,1,,,,,,,,,,2,3,0,,6,3,1,,2,6,1,,4,6,0,,5,4,1,,,,,
1926,NHL,DTC,6,15,1,,6,13,3,,,,,,,,,,3,2,0,,2,6,1,,3,8,1,,2,6,0,,2,6,2,,,,,
1926,NHL,MTL,15,5,2,,13,9,0,,,,,,,,,,1,4,0,,7,2,1,,5,5,0,,6,2,1,,9,1,0,,,,,
1926,NHL,MTM,6,13,3,,14,7,1,,,,,,,,,,3,4,0,,2,4,2,,5,5,1,,8,3,0,,2,4,1,,,,,
1926,NHL,NYA,10,10,2,,7,15,0,,,,,,,,,,2,4,0,,5,3,1,,5,6,0,,4,5,1,,1,7,0,,,,,
1926,NHL,NYR,14,5,3,,11,8,3,,,,,,,,,,4,1,0,,3,5,1,,8,1,2,,5,4,1,,5,2,2,,,,,
1926,NHL,OTS,16,5,1,,14,5,3,,,,,,,,,,4,0,1,,7,1,1,,7,3,1,,6,3,1,,6,3,0,,,,,
1926,NHL,PIP,8,12,2,,7,14,1,,,,,,,,,,3,2,0,,1,6,1,,7,5,0,,1,5,2,,3,8,0,,,,,
1926,NHL,TRS,10,10,2,,5,14,3,,,,,,,,,,1,2,1,,3,7,0,,3,5,2,,3,7,2,,5,3,0,,,,,
1927,NHL,BOS,13,4,5,,7,9,6,,,,,,,,,,3,1,2,,4,4,2,,4,4,4,,5,1,1,,4,3,2,,,,,
1927,NHL,CHI,2,18,2,,5,16,1,,,,,,,,,,1,3,2,,2,8,0,,1,10,1,,3,6,0,,0,7,0,,,,,
1927,NHL,DTC,9,10,3,,10,9,3,,,,,,,,,,2,2,1,,6,4,2,,4,5,0,,1,4,3,,6,4,0,,,,,
1927,NHL,MTL,12,7,3,,14,4,4,,,,,,,,,,3,1,1,,8,0,3,,7,3,0,,2,4,3,,6,3,0,,,,,
1927,NHL,MTM,12,6,4,,12,8,2,,,,,,,,,,3,2,1,,4,5,1,,5,2,1,,5,3,3,,7,2,0,,,,,
1927,NHL,NYA,6,13,3,,5,14,3,,,,,,,,,,2,3,0,,4,6,2,,2,6,1,,3,4,3,,0,8,0,,,,,
1927,NHL,NYR,10,8,4,,9,8,5,,,,,,,,,,4,1,1,,4,5,3,,6,3,1,,3,3,3,,2,4,1,,,,,
1927,NHL,OTS,13,4,5,,7,10,5,,,,,,,,,,3,4,0,,4,2,4,,5,4,1,,4,1,4,,4,3,1,,,,,
1927,NHL,PIP,10,9,3,,9,8,5,,,,,,,,,,0,5,0,,2,3,4,,5,3,3,,5,4,1,,7,2,0,,,,,
1927,NHL,TOR,9,8,5,,9,10,3,,,,,,,,,,3,2,0,,3,4,3,,6,5,0,,3,4,3,,3,3,2,,,,,
1928,NHL,BOS,15,6,1,,11,7,4,,,,,,,,,,2,2,2,,3,5,0,,11,0,2,,5,4,1,,5,2,0,,,,,
1928,NHL,CHI,3,13,6,,4,16,2,,,,,,,,,,0,5,1,,4,5,0,,0,10,3,,1,7,2,,2,2,2,,,,,
1928,NHL,DTC,11,6,5,,8,10,4,,,,,,,,,,2,1,2,,5,5,2,,5,4,1,,5,3,3,,2,3,1,,,,,
1928,NHL,MTL,12,4,6,,10,3,9,,,,,,,,,,2,2,2,,5,3,1,,5,1,7,,5,1,4,,5,0,1,,,,,
1928,NHL,MTM,11,8,3,,4,12,6,,,,,,,,,,3,3,1,,5,4,1,,3,4,5,,4,5,2,,0,4,0,,,,,
1928,NHL,NYA,9,6,7,,10,7,5,,,,,,,,,,3,0,2,,6,6,1,,4,3,4,,4,2,4,,2,2,1,,,,,
1928,NHL,NYR,12,6,4,,9,7,6,,,,,,,,,,4,1,1,,5,3,2,,7,3,3,,3,4,3,,2,2,1,,,,,
1928,NHL,OTS,7,6,9,,7,11,4,,,,,,,,,,2,1,3,,2,5,3,,2,4,5,,6,5,0,,2,2,2,,,,,
1928,NHL,PIP,5,13,4,,4,14,4,,,,,,,,,,1,4,2,,3,4,2,,3,6,2,,1,9,2,,1,4,0,,,,,
1928,NHL,TOR,15,5,2,,6,13,3,,,,,,,,,,3,3,0,,6,4,0,,3,8,2,,7,1,1,,2,2,2,,,,,
1929,NHL,BOS,21,1,0,,17,4,1,,,,,,,,,,5,1,0,,10,1,0,,10,2,0,,8,0,1,,5,1,0,,,,,
1929,NHL,CHI,12,9,1,,9,9,4,,,,,,,,,,2,2,2,,7,4,0,,5,5,1,,3,5,1,,4,2,1,,,,,
1929,NHL,DTC,9,10,3,,5,14,3,,,,,,,,,,1,5,1,,5,5,0,,5,4,2,,2,6,2,,1,4,1,,,,,
1929,NHL,MTL,13,5,4,,8,9,5,,,,,,,,,,4,1,2,,4,4,2,,5,5,0,,5,2,3,,3,2,2,,,,,
1929,NHL,MTM,10,9,3,,13,7,2,,,,,,,,,,4,4,0,,6,2,1,,5,4,2,,5,3,2,,3,3,0,,,,,
1929,NHL,NYA,11,7,4,,3,18,1,,,,,,,,,,1,4,0,,3,8,0,,4,7,2,,3,3,2,,3,3,1,,,,,
1929,NHL,NYR,11,5,6,,6,12,4,,,,,,,,,,4,2,1,,5,4,1,,6,5,0,,1,4,4,,1,2,4,,,,,
1929,NHL,OTS,13,6,3,,8,9,5,,,,,,,,,,5,2,1,,1,5,3,,5,6,0,,6,0,4,,4,2,0,,,,,
1929,NHL,PIP,5,16,1,,0,20,2,,,,,,,,,,1,4,0,,2,8,1,,1,9,1,,1,9,0,,0,6,1,,,,,
1929,NHL,TOR,10,8,4,,7,13,2,,,,,,,,,,2,4,1,,4,6,0,,4,3,2,,4,6,1,,3,2,2,,,,,
1930,NHL,BOS,16,1,5,,12,9,1,,,,,,,,,,3,3,1,,8,1,1,,7,3,2,,6,1,1,,4,2,1,,,,,
1930,NHL,CHI,13,8,1,,11,9,2,,,,,,,,,,5,0,1,,4,5,1,,7,3,0,,3,5,1,,5,4,0,,,,,
1930,NHL,DTF,10,7,5,,6,14,2,,,,,,,,,,3,2,2,,4,5,1,,5,4,1,,3,4,3,,1,6,0,,,,,
1930,NHL,MTL,15,3,4,,11,7,4,,,,,,,,,,3,3,0,,6,1,3,,8,3,0,,6,1,3,,3,2,2,,,,,
1930,NHL,MTM,13,5,4,,7,13,2,,,,,,,,,,2,4,0,,6,2,3,,6,5,1,,2,5,2,,4,2,0,,,,,
1930,NHL,NYA,12,6,4,,6,10,6,,,,,,,,,,1,3,4,,5,2,2,,4,4,1,,4,6,2,,4,1,1,,,,,
