playerID,coachID,hofID,firstName,lastName,nameNote,nameGiven,nameNick,height,weight,shootCatch,legendsID,ihdbID,hrefID,firstNHL,lastNHL,firstWHA,lastWHA,pos,birthYear,birthMon,birthDay,birthCountry,birthState,birthCity,deathYear,deathMon,deathDay,deathCountry,deathState,deathCity
,,ahearfr01h,Frank,Ahearn,,T. Franklin,,,,,B196201,,,,,,,,1886,5,10,Canada,ON,Ottawa,1962,11,17,,,
ahearke01,,,Kevin,Ahearn,,Kevin Joseph,,70,160,L,,8724,ahearke01,,,1972,1972,L,1948,6,20,USA,MA,Milton,,,,,,
ahernfr01,,,Fred,Ahern,,Frederick Vincent (Jr.),,72,180,R,11817,5948,ahernfr01,1974,1977,,,R,1952,2,12,USA,MA,South Boston,,,,,,
ahlinru01,,,Rudy,Ahlin,,Anthony Rudolph,Tony,71,176,L,11818,20006,ahlinru01,1937,1937,,,L,1908,12,13,USA,MN,Eveleth,1976,5,6,,,
ahokase01,,,Seppo,Ahokainen,,,,,,,,61215,ahokase01,,,1978,1978,,,,,,,,,,,,,
aholape01,,,Peter,Ahola,,Peter Kristian,,75,205,L,10006,5949,aholape01,1991,1993,,,D,1968,5,14,Finland,,Espoo,,,,,,
ahrench01,,,Chris,Ahrens,,Christopher Alfred,,72,185,R,11819,5950,ahrench01,1972,1977,1977,1977,D,1952,7,31,USA,CA,San Bernardino,,,,,,
aikendo01,,,Don,Aiken,,Donald John Judson,,71,165,L,18413,45791,aikendo01,1957,1957,,,G,1932,1,1,USA,MA,Arlington,,,,,,
ailsbll01,,,Lloyd,Ailsby,,Harold Lloyd,,71,194,L,11820,11445,ailsbll01,1951,1951,,,D,1917,5,11,Canada,SK,Lac Pellitier,2007,5,8,Canada,SK,Swift Current
aitkean01,,,Andy,Aitkenhead,,Andrew,The Glasgow Gobbler,69,145,L,18414,20023,aitkean01,1932,1934,,,G,1904,3,6,Scotland,,Glasgow,1968,,,,,
aitkebr01,,,Brad,Aitken,,Bradley E.,,74,200,L,10008,5952,aitkebr01,1987,1990,,,L,1967,10,30,Canada,ON,Scarborough,,,,,,
aitkejo01,,,Johnathan,Aitken,,Johnathan James,,76,230,L,11106,19365,aitkejo01,1999,2003,,,D,1978,5,24,Canada,AB,Edmonton,,,,,,
aivazmi01,,,Micah,Aivazoff,,Micah,,72,195,L,10009,755,aivazmi01,1993,1995,,,C,1969,5,4,Canada,BC,Powell River,,,,,,
alatami01,,,Mika,Alatalo,,Mika Antero,,72,202,L,17807,19175,alatami01,1999,2000,,,L,1971,6,11,Finland,,Oulu,,,,,,
albelto01,,,Tommy,Albelin,,Tommy,,74,195,L,10014,5955,albelto01,1987,2005,,,D,1964,5,21,Sweden,,Stockholm,,,,,,
alberan01,,,Andrew,Alberts,,Andrew James,Albie,76,216,L,20207,56749,alberan01,2005,2011,,,D,1981,6,30,USA,MN,Minneapolis,,,,,,
albricl01,,,Clint,Albright,,Clinton Howard,The Professor,74,180,L,11821,12127,albricl01,1948,1948,,,C,1926,2,28,Canada,MB,Winnipeg,1999,12,30,,,
aldcoga01,,,Gary,Aldcorn,,Gary William,,71,170,L,11822,5959,aldcoga01,1956,1960,,,L,1935,3,7,Canada,SK,Shaunavon,,,,,,
aldrike01,,,Keith,Aldridge,,Keith,,71,185,R,19426,5961,aldrike01,1999,1999,,,D,1973,7,20,USA,MI,Detroit,,,,,,
alexaar01,,,Art,Alexandre,,Arthur,,65,150,R,11824,18889,alexaar01,1931,1932,,,L,1909,3,2,Canada,QC,St. Jean,1976,,,,,
alexacl01,,,Claire,Alexander,,Claire Arthur,The Milkman,73,175,R,11823,5962,alexacl01,1974,1977,1978,1978,D,1945,6,16,Canada,ON,Collingwood,,,,,,
alexeni01,,,Nikita,Alexeev,,,,77,227,L,19563,42332,alexeni01,2001,2006,,,R,1981,12,27,Russia,,Murmansk,,,,,,
alfreda01,,,Daniel,Alfredsson,,Daniel,Alfie,71,207,R,15153,18514,alfreda01,1995,2011,,,R,1972,12,11,Sweden,,Grums,,,,,,
aliuak01,,,Akim,Aliu,,,,76,225,,,,aliuak01,2011,2011,,,R,1989,4,24,,,,,,,,,
allanje01,,,Jeff,Allan,,Jeffrey,,73,194,R,11826,8377,allanje01,1977,1977,1977,1977,D,1957,5,17,Canada,ON,Toronto,,,,,,
,,allanmo01h,Montagu,Allan,,Hugh Andrew Montagu,,,,,B194501,,,,,,,,1860,10,13,Canada,QC,Montreal,1951,9,26,,,
allenbo01,,,Bobby,Allen,,Robert Paul,,73,215,L,16624,35505,allenbo01,2002,2007,,,D,1978,11,14,USA,MA,Weymouth,,,,,,
allenbr01,,,Bryan,Allen,,,,76,220,L,16626,25877,allenbr01,2000,2011,,,D,1980,8,21,Canada,ON,Kingston,,,,,,
allench01,,,Chris,Allen,,Christopher,,74,197,R,11241,20193,allench01,1997,1998,,,D,1978,5,8,Canada,ON,Chatham,,,,,,
allenge01,,,George,Allen,,George Trenholm,,70,162,L,11825,45,allenge01,1938,1946,,,L,1914,7,27,Canada,NB,Bayfield,2000,3,27,Canada,AB,Red Deer
allenke01,allenke01c,allenke01h,Keith,Allen,,Courtney Keith,Bingo,71,190,L,B199201,11406,allenke01,1953,1954,,,D,1923,8,21,Canada,SK,Saskatoon,,,,,,
allenpe01,,,Peter,Allen,,Peter,,74,200,R,10434,10733,allenpe01,1995,1995,,,D,1970,3,6,Canada,AB,Calgary,,,,,,
allenvi01,,,Viv,Allen,,Vivan Mariner,Squee,66,140,R,11828,14216,allenvi01,1940,1940,,,R,1916,9,9,Canada,NB,Bayfield,1995,,,,,
alleyst01,,,Steve,Alley,,Steven,The Cat,72,185,L,11829,7406,alleyst01,1979,1980,1977,1978,L,1953,12,29,USA,MN,Anoka,,,,,,
allisda01,allisda01c,,Dave,Allison,,David Bryan,Sparky,73,200,R,11830,49,allisda01,1983,1983,,,D,1959,4,14,Canada,ON,Fort Frances,,,,,,
allisja01,,,Jason,Allison,,Jason Paul,,75,215,R,15021,50,allisja02,1993,2005,,,C,1975,5,29,Canada,ON,North York,,,,,,
allisja02,,,Jamie,Allison,,Jamie,,73,210,L,14815,15567,allisja01,1994,2005,,,D,1975,5,13,Canada,ON,Lindsay,,,,,,
allismi01,,,Mike,Allison,,Michael Ernest,Red Dog,72,200,R,11831,51,allismi01,1980,1989,,,L,1961,3,28,Canada,ON,Ft. Frances,,,,,,
allisra01,,,Ray,Allison,,Raymond Peter,,70,195,R,11832,52,allisra01,1979,1986,,,R,1959,3,4,Canada,BC,Cranbrook,,,,,,
allumbi01,,,Bill,Allum,,William James Douglas,,71,194,L,11833,14230,allumbi01,1939,1940,,,D,1916,10,9,Canada,MB,Winnipeg,1992,3,14,Canada,MB,Winnipeg
almasre01,,,Red,Almas,,Ralph Clayton,,69,160,R,18415,11434,almasre01,1946,1952,,,G,1924,4,26,Canada,SK,Saskatoon,2001,5,13,Canada,SK,Regina
almonco01,,,Cody,Almond,,,,74,199,L,,89903,almonco01,2009,2011,,,C,1989,7,24,Canada,AB,Calgary,,,,,,
alzneka01,,,Karl,Alzner,,,,74,206,L,22210,74658,alzneka01,2008,2011,,,D,1988,9,24,Canada,BC,Burnaby,,,,,,
amadida01,,,Dave,Amadio,,David A.,Hoss,73,207,R,11834,56,amadida01,1957,1968,,,D,1939,4,23,Canada,NS,Glace Bay,1981,4,1,,,
ambrope01,,,Peter,Ambroziak,,Peter A.,,72,206,L,10019,57,ambrope01,1994,1994,,,L,1971,9,15,Canada,ON,Kanata,,,,,,
amodemi01,,,Mike,Amodeo,,Michael Anthony,,70,190,L,11835,60,amodemi01,1979,1979,1972,1978,D,1952,6,22,Canada,ON,Toronto,,,,,,
amontto01,,,Tony,Amonte,,Anthony Louis,Bones,72,200,L,10020,62,amontto01,1990,2006,,,R,1970,8,2,USA,MA,Hingham,,,,,,
anderbi01,,,Bill,Anderson,,William,Red,72,190,R,11836,21754,anderbi01,1942,1942,,,D,1912,12,13,Canada,ON,Tillsonburg,9999,,,,,
andercr01,,,Craig,Anderson,,,,74,180,L,19246,42354,andercr01,2002,2011,,,G,1981,5,21,USA,IL,Park Ridge,,,,,,
anderda01,,,Dale,Anderson,,Dale Norman,,75,190,L,11837,11178,anderda01,1956,1956,,,D,1932,3,5,Canada,SK,Regina,,,,,,
anderdo01,,,Doug,Anderson,,Douglas,Andy,67,157,L,11838,11691,anderdo01,1952,1952,,,C,1927,10,20,Canada,AB,Edmonton,,,,,,
anderea01,,,Earl,Anderson,,Earl Orlin,,73,185,R,11839,66,anderea01,1974,1976,,,R,1951,2,24,USA,MN,Roseau,,,,,,
anderer01,,,Erik,Andersson,,Erik,,75,210,L,14957,22600,anderer01,1997,1997,,,L,1971,8,19,Sweden,,Stockholm,,,,,,
anderer02,,,Ernie,Anderson,,Ernest Ridley,,66,130,R,,24561,,,,,,R,1898,12,9,Canada,MB,Dynevor St. Peters,,,,,,
andergl01,,andergl01h,Glenn,Anderson,,Glenn Christopher,Andy,73,190,L,P200801,67,andergl01,1980,1995,,,R,1960,10,2,Canada,BC,Vancouver,,,,,,
anderji01,anderji01c,,Jim,Anderson,,James William,,70,165,L,11840,10057,anderji01,1967,1967,,,L,1930,12,1,Canada,ON,Pembroke,,,,,,
anderjo01,anderjo01c,,John,Anderson,,John Murray,Andy,71,200,R,10022,69,anderjo01,1977,1988,,,L,1957,3,28,Canada,ON,Toronto,,,,,,
anderjo02,,,Jonas,Andersson,,,,74,202,L,19302,45120,anderjo02,2001,2010,,,R,1981,2,24,Sweden,,Stockholm,,,,,,
anderjo03,,,Jocko,Anderson,,John Wilberforce,,67,150,L,,60142,,,,,,L,1892,10,4,Canada,MB,Dynevor St. Peters,,,,,,
anderjo04,,,Joakim,Andersson,,,,74,198,,,,anderjo03,2011,2011,,,C,1989,2,5,,,,,,,,,
anderke01,,,Kent-Erik,Andersson,,Kent Erik H.,Kenta/Stan,74,185,R,11846,75,anderke01,1977,1983,,,R,1951,5,24,Sweden,,Orebro,,,,,,
anderlo01,,,Lorne,Anderson,,Lorne Robert,Andy/Lefty,71,166,L,18416,11452,anderlo01,1951,1951,,,G,1931,7,26,Canada,ON,Renfrew,1984,3,20,Canada,ON,Renfrew
andermi01,,,Mikael,Andersson,,Bo Mikael,,71,181,L,10025,76,andermi01,1985,1999,,,L,1966,5,10,Sweden,,Malmo,,,,,,
andermu01,,,Murray,Anderson,,Murray Craig,,70,175,L,11841,6795,andermu01,1974,1974,,,D,1949,8,28,Canada,MB,The Pas,,,,,,
anderni01,,,Niklas,Andersson,,Niklas P.,,69,180,L,10028,77,anderni01,1992,2000,,,L,1971,5,20,Sweden,,Kungalv,,,,,,
anderpe01,,,Perry,Anderson,,Perry Lynn,Wheels,73,225,L,10023,71,anderpe01,1981,1991,,,L,1961,10,14,Canada,ON,Barrie,,,,,,
anderpe02,,,Peter,Andersson,,Peter,,74,200,R,11847,34233,anderpe02,1983,1985,,,D,1962,3,2,Sweden,,Federtalve,,,,,,
anderpe03,,,Peter,Andersson,,Peter,,72,196,L,14767,78,anderpe03,1992,1993,,,D,1965,8,29,Sweden,,Orebro,,,,,,
anderro01,,,Ron,Anderson,,Ronald Chester,Goings,72,170,R,11842,72,anderro01,1967,1971,1972,1973,R,1945,7,29,Canada,AB,Red Deer,,,,,,
anderro02,,,Ron,Anderson,,Ronald Henry,,70,165,R,11843,11895,anderro02,1974,1974,,,R,1950,1,21,Canada,NB,Moncton,,,,,,
anderro03,,,Ron F.,Anderson,,Ronald Frank,,72,190,R,,11896,anderro03,,,1972,1974,D,1948,11,15,Canada,ON,Dryden,,,,,,
anderru01,,,Russ,Anderson,,Russell Vincent,The Enforcer,75,210,L,11844,73,anderru01,1976,1984,,,D,1955,2,12,USA,MN,Minneapolis,,,,,,
andersh01,,,Shawn,Anderson,,Shawn Stephen,,73,200,L,10024,74,andersh01,1986,1994,,,D,1968,2,7,Canada,QC,Montreal,,,,,,
anderto01,,,Tom,Anderson,,Thomas Linton,Cowboy,70,180,L,11845,14615,anderto01,1934,1941,,,L/D,1910,7,9,Scotland,,Edinburgh,1971,9,15,,,
andrast01,,,Steve,Andrascik,,Steven George,,71,200,R,11848,6607,andrast01,1971,1971,1974,1975,R,1948,11,6,Canada,MB,Sherridon,,,,,,
andreal01,,,Alexander,Andrevi,,,,,,,,,andreal01,,,1978,1978,,,,,,,,,,,,,
andreda01,,,Dave,Andreychuk,,David John,Chukie/Octopus,76,220,R,10029,80,andreda01,1982,2005,,,L,1963,9,29,Canada,ON,Hamilton,,,,,,
andrell01,,,Lloyd,Andrews,,Lloyd Thomas,Shrimp,68,155,L,11850,17101,andrell01,1921,1924,,,L,1899,11,4,Canada,ON,Tilsonburg,1974,,,,,
andrepa01,,,Paul,Andrea,,Paul Lawrence,,70,174,L,11849,79,andrepa01,1965,1970,1972,1973,R,1941,7,31,Canada,NS,North Sydney,,,,,,
andrial01,,,Alexander,Andrievski,,Alexander,,77,211,R,14784,81,andrial01,1992,1992,,,R,1968,8,10,Belarus,,Minsk,,,,,,
andrugr01,,,Greg,Andrusak,,Gregory Frederick,,73,195,R,10030,83,andrugr01,1993,1999,,,D,1969,11,14,Canada,BC,Cranbrook,,,,,,
andruro01,,,Ron,Andruff,,Ronald Nicholas,,72,185,R,11851,82,andruro01,1974,1978,,,C,1953,7,10,Canada,BC,Chemainus,,,,,,
angelme01,,,Mel,Angelstad,,,The Mangler,74,214,L,17014,6012,angelme01,2003,2003,,,L,1972,10,31,Canada,SK,Saskatoon,,,,,,
angelmi01,,,Mike,Angelidis,,,,73,200,,,,angelmi01,2011,2011,,,C,1985,6,27,,,,,,,,,
angotlo01,angotlo01c,,Lou,Angotti,,Louis Frederick,,69,170,R,11852,87,angotlo01,1964,1973,1974,1974,C,1938,1,16,Canada,ON,Toronto,,,,,,
anholda01,,,Darrel,Anholt,,Darrel,,74,230,L,11853,88,anholda01,1983,1983,,,D,1962,11,23,Canada,AB,Hardisty,,,,,,
anisiar01,,,Artem,Anisimov,,,,75,190,L,21977,95342,anisiar01,2008,2011,,,C,1988,5,24,Russia,,Yaroslavl,,,,,,
anslohu01,,,Hub,Anslow,,Hubert Wallace,,72,173,L,11854,13310,anslohu01,1947,1947,,,L,1926,3,23,Canada,ON,Pembroke,2006,7,2,,,
antonmi01,,,Mike,Antonovich,,Michael J.,Antone,68,155,L,11855,90,antonmi01,1975,1983,1972,1978,C,1951,10,18,USA,MN,Calumet,,,,,,
antossh01,,,Shawn,Antoski,,Shawn,Moose,76,235,L,10033,92,antossh01,1990,1997,,,L,1970,3,25,Canada,ON,Brantford,,,,,,
antroni01,,,Nik,Antropov,,Nikolai,,78,230,L,16452,36977,antroni01,1999,2011,,,C,1980,2,18,Russia,,Vost,,,,,,
appssy01,,appssy01h,Syl,Apps,,Charles Joseph Sylvanus (Sr.),Slippery Syl,72,185,L,P196101,12150,appssy01,1936,1947,,,C,1915,1,18,Canada,ON,Paris,1998,12,24,,,
appssy02,,,Syl,Apps,,Sylvanus Marshall (Jr.),,72,185,R,11856,96,appssy02,1970,1979,,,C,1947,8,1,Canada,ON,Toronto,,,,,,
arboual01,arboual01c,arboual01h,Al,Arbour,,Alger Joseph,Radar,72,180,L,B199601,97,arboual01,1953,1970,,,D,1932,11,1,Canada,ON,Sudbury,,,,,,
arbouam01,,,Amos,Arbour,,Amos,Butch,68,160,L,11859,29888,arbouam01,1918,1923,,,L,1895,1,26,Canada,ON,Waubaushene,1943,11,1,Canada,ON,Orillia
arbouja01,,,Jack,Arbour,,John Albert,,68,172,L,11860,22844,arbouja01,1926,1928,,,D,1897,3,7,Canada,ON,Waubaushene,1973,9,24,,,
arboujo01,,,John,Arbour,,John Gilbert,,71,195,L,11861,98,arboujo01,1965,1971,1972,1976,D,1945,9,28,Canada,ON,Niagara Falls,,,,,,
arbouty01,,,Ty,Arbour,,Ernest J.,,67,160,L,11862,22884,arbouty01,1926,1930,,,L,1896,6,29,Canada,ON,Waubaushene,1979,2,11,,,
archami01,,,Michel,Archambault,,Michel Joseph,Mike/Pit,68,160,L,11863,99,archami01,1976,1976,1972,1972,L,1950,9,27,Canada,QC,St. Hyacinthe,,,,,,
archayv01,,,Yves,Archambault,,Yves,,71,170,L,,10373,archayv01,,,1972,1973,G,1952,6,22,Canada,QC,Montreal,,,,,,
archida01,,,Dave,Archibald,,David John,Archie,73,210,L,10034,100,archida01,1987,1996,,,C,1969,4,14,Canada,BC,Chilliwack,,,,,,
archiji01,,,Jim,Archibald,,James,,71,175,R,11864,9478,archiji01,1984,1986,,,R,1961,6,6,Canada,SK,Craik,,,,,,
areshro01,,,Ron,Areshenkoff,,Ronald,,72,175,L,11865,6241,areshro01,1979,1979,,,C,1957,6,13,Canada,BC,Grand Forks,,,,,,
arkhide01,,,Denis,Arkhipov,,,,75,214,L,16470,36988,arkhide01,2000,2006,,,C,1979,5,19,Russia,,Kazan,,,,,,
armstbi01,,,Bill,Armstrong,,William Harold,Army,74,195,L,10037,5902,armstbi01,1990,1990,,,C,1966,6,25,Canada,ON,London,,,,,,
armstbo01,,,Bob,Armstrong,,Robert Richard,Satch/Beau,73,190,R,11866,104,armstbo01,1950,1961,,,D,1931,4,7,Canada,ON,Toronto,1990,11,6,,,
armstch01,,,Chris,Armstrong,,,,72,205,L,14980,6204,armstch01,2000,2003,,,D,1975,6,26,Canada,SK,Regina,,,,,,
armstco01,,,Colby,Armstrong,,,,74,188,R,20144,46427,armstco01,2005,2011,,,R,1982,11,23,Canada,BC,Lloydminster,,,,,,
armstde01,,,Derek,Armstrong,,Derek,Army,72,190,R,10036,105,armstde01,1993,2009,,,C,1973,4,23,Canada,ON,Ottawa,,,,,,
armstge01,armstge01c,armstge01h,George,Armstrong,,George Edward,Chief,73,184,R,P197501,106,armstge01,1949,1970,,,R,1930,7,6,Canada,ON,Skead,,,,,,
armstmu01,,,Murray,Armstrong,,Murray Alexander,,70,170,L,11868,107,armstmu01,1937,1945,,,C,1916,1,1,Canada,SK,Manor,2010,12,8,USA,FL,St. Augustine
,,armstne01h,Neil,Armstrong,,Neil P.,,,,,O199101,,,,,,,,1932,12,29,Canada,ON,Plympton,,,,,,
armstno01,,,Norm,Armstrong,,Norman Gerrard,Red,71,205,L,11869,8767,armstno01,1962,1962,,,D/L,1938,10,17,Canada,ON,Own Sound,1974,7,23,,,
armstri01,,,Riley,Armstrong,,,,71,185,R,21598,68990,armstri01,2008,2008,,,R,1984,11,8,Canada,SK,Saskatoon,,,,,,
armstti01,,,Tim,Armstrong,,Timothy,,71,170,R,11870,108,armstti01,1988,1988,,,C,1967,5,12,Canada,ON,Toronto,,,,,,
arnasch01,,,Chuck,Arnason,,Ernest Charles,,70,183,R,11871,109,arnasch01,1971,1978,,,R,1951,7,15,Canada,MB,Ashern,,,,,,
arnasty01,,,Tyler,Arnason,,,,71,204,L,17678,42531,arnasty01,2001,2008,,,C,1979,3,16,USA,OK,Oklahoma City,,,,,,
arndtda01,,,Danny,Arndt,,Daniel Henry,,71,175,L,,6646,arndtda01,,,1975,1977,L,1955,3,26,Canada,SK,Saskatoon,,,,,,
arnieja01,,,Jamie,Arniel,,,,71,183,,,,arnieja01,2010,2010,,,C,1989,11,16,Canada,ON,Kingston,,,,,,
arniesc01,arniesc01c,,Scott,Arniel,,Scott William,,73,188,L,10038,110,arniesc01,1981,1991,,,L,1962,9,17,Canada,ON,Kingston,,,,,,
arnotja01,,,Jason,Arnott,,Jason William,,76,220,R,14976,112,arnotja01,1993,2011,,,C,1974,10,11,Canada,ON,Collingwood,,,,,,
arsende01,,,Dean,Arsene,,,,74,195,L,,29246,arsende01,2009,2009,,,D,1980,7,20,Canada,BC,Murrayville,,,,,,
arthufr01,,,Fred,Arthur,,Frederick Edward,,77,210,L,11872,116,arthufr01,1980,1982,,,D,1961,3,6,Canada,ON,Toronto,,,,,,
artyuev01,,,Evgeny,Artyukhin,,,,77,254,L,20316,56840,artyuev01,2005,2009,,,R,1983,4,4,Russia,,Moscow,,,,,,
arundjo01,,,John,Arundel,,John O'Gorman,,71,181,L,11873,12117,arundjo01,1949,1949,,,D,1927,11,4,Canada,MB,Winnipeg,2002,9,19,Canada,ON,Kemptville
arvedma01,,,Magnus,Arvedson,,Magnus,,74,198,L,11284,28404,arvedma01,1997,2003,,,L,1971,11,25,Sweden,,Karlstad,,,,,,
aseltja01,,,Jack,Aseltine,,John Wesley,,68,167,R,,60145,,,,,,R,1896,6,2,Canada,ON,Perth,,,,,,
ashamar01,,,Arron,Asham,,Arron,,71,210,R,11459,19303,ashamar01,1998,2011,,,R,1978,4,13,Canada,MB,Portage la Prairie,,,,,,
ashbeba01,,,Barry,Ashbee,,William Barry,Ash,70,180,R,11874,117,ashbeba01,1965,1973,,,D,1939,7,28,Canada,ON,Weston,1977,5,12,USA,PA,Philadelphia
ashbo01,,,Bob,Ash,,Robert John,Squeaky,69,170,L,,10009,ashbo01,,,1972,1974,D,1943,9,29,Canada,SK,Broadview,,,,,,
