year,hofID,name,category
1962,smithfr01h,Frank Smith,Builder
1963,dandule01h,Leo Dandurand,Builder
1963,gormato01h,Tommy Gorman,Builder
1963,goodfeb01h,Ebbie Goodfellow,Player
1963,primejo01h,Joe Primeau,Player
1963,seibeea01h,Earl Seibert,Player
1963,hewitbo01h,Bobby Hewitson,Referee/Linesman
1963,mclaufr01h,Frederic McLaughlin,Builder
1964,bentldo01h,Doug Bentley,Player
1964,durnabi01h,Bill Durnan,Player
1964,siebeba01h,Babe Siebert,Player
1964,stewaja01h,Jack Stewart,Player
1964,campban01h,Angus Campbell,Builder
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1964,diliofr01h,Francis Dilio,Builder
1965,barryma01h,Marty Barry,Player
1965,benedcl01h,Clint Benedict,Player
1965,farrear01h,Art Farrell,Player
1965,hornere01h,Red Horner,Player
1965,howesy01h,Syd Howe,Player
1965,marshja02h,Jack Marshall,Player
1965,mosiebi01h,Bill Mosienko,Player
1965,russebl01h,Blair Russell,Player
1965,russeer01h,Ernie Russell,Player
1965,scanlfr01h,Fred Scanlon,Player
1965,hewitfo01h,Foster Hewitt,Builder
1965,lockhth01h,Tommy Lockhart,Builder
1966,bentlma01h,Max Bentley,Player
1966,blaketo01h,Toe Blake,Player
1966,bouchbu01h,Butch Bouchard,Player
1966,brimsfr01h,Frank Brimsek,Player
1966,kennete01h,Ted Kennedy,Player
1966,lachel01h,Elmer Lach,Player
1966,lindste01h,Ted Lindsay,Player
1966,prattba01h,Babe Pratt,Player
1966,reardke01h,Ken Reardon,Player
1966,campbcl01h,Clarence Campbell,Builder
1967,brodatu01h,Turk Broda,Player
1967,colvine01h,Neil Colville,Player
1967,oliveha01h,Harry Oliver,Player
1967,storere01h,Red Storey,Referee/Linesman
1968,cowlebi01h,Bill Cowley,Player
1968,dunnji01h,Jimmy Dunn,Builder
1968,hendyji01h,Jim Hendy,Builder
1969,abelsi01h,Sid Abel,Player
1969,hextabr01h,Bryan Hextall,Player
1969,kellyre01h,Red Kelly,Player
1969,wortero01h,Roy Worters,Player
1969,leadeal01h,Al Leader,Builder
1969,norribr01h,Bruce Norris,Builder
1970,dyeba01h,Babe Dye,Player
1970,gadsbbi01h,Bill Gadsby,Player
1970,johnsto01h,Tom Johnson,Player
1970,lebelro01h,Bob LeBel,Builder
1971,jacksbu01h,Busher Jackson,Player
1971,robergo02h,Gord Roberts,Player
1971,sawchte01h,Terry Sawchuk,Player
1971,weilaco01h,Cooney Weiland,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1972,belivje01h,Jean Beliveau,Player
1972,geoffbe01h,Bernie Geoffrion,Player
1972,holmeha01h,Hap Holmes,Player
1972,howego01h,Gordie Howe,Player
1972,smithho01h,Hooley Smith,Player
1972,adamswe01h,Weston Adams,Builder
1973,harvedo01h,Doug Harvey,Player
1973,raynech01h,Chuck Rayner,Player
1973,smithto01h,Tommy Smith,Player
1973,molsoha01h,Hartland Molson,Builder
1973,udvarfr01h,Frank Udvari,Referee/Linesman
1974,burchbi01h,Billy Burch,Player
1974,ivanto01h,Tommy Ivan,Builder
1974,coultar01h,Art Coulter,Player
1974,dundeto01h,Tommy Dunderdale,Player
1974,mooredi01h,Dickie Moore,Player
1974,vossca01h,Carl Voss,Builder
1974,haych01h,Charles Hay,Builder
1974,tarasan01h,Anatoli Tarasov,Builder
1975,armstge01h,George Armstrong,Player
1975,baileac01h,Ace Bailey,Player
1975,drillgo01h,Gordie Drillon,Player
1975,hallgl01h,Glenn Hall,Player
1975,pilotpi01h,Pierre Pilote,Player
1975,bucklfr01h,Frank Buckland,Builder
1975,bucklfr01h,William Jennings,Builder
1976,bowerjo01h,Johnny Bower,Player
1976,gibsoja02h,Jack Gibson,Builder
1976,quackbi01h,Bill Quackenbush,Player
1976,rossph01h,Philip Ross,Builder
1976,wirtzwi01h,William Wirtz,Builder
1977,delveal01h,Alex Delvecchio,Player
1977,hortoti01h,Tim Horton,Player
1977,ahearbu01h,Bunny Ahearne,Builder
1977,ballaha01h,Harold Ballard,Builder
1977,cattajo01h,Joseph Cattarinich,Builder
1978,bathgan01h,Andy Bathgate,Player
1978,plantja01h,Jacques Plante,Player
1978,pronoma01h,Marcel Pronovost,Player
1978,bickejo01h,John Bickell,Builder
1978,pollosa01h,Sam Pollock,Builder
1978,tuttwi01h,William Tutt,Builder
1979,howelha01h,Harry Howell,Player
1979,orrbo01h,Bobby Orr,Player
1979,richahe01h,Henri Richard,Player
1979,juckego01h,Gordon Juckes,Builder
1980,lumleha01h,Harry Lumley,Player
1980,patrily01h,Lynn Patrick,Player
1980,worslgu01h,Gump Worsley,Player
1980,butteja01h,Jack Butterfield,Builder
1981,bucykjo01h,John Bucyk,Player
1981,mahovfr01h,Frank Mahovlich,Player
1981,stanlal01h,Allan Stanley,Player
1981,ashlejo01h,John Ashley,Referee/Linesman
1982,cournyv01h,Yvan Cournoyer,Player
1982,francem01h,Emile Francis,Builder
1982,gilbero01h,Rod Gilbert,Player
1982,ullmano01h,Norm Ullman,Player
1983,drydeke01h,Ken Dryden,Player
1983,hullbo01h,Bobby Hull,Player
1983,mikitst01h,Stan Mikita,Player
1983,sindeha01h,Harry Sinden,Builder
1984,esposph01h,Phil Esposito,Player
1984,imlacpu01h,Punch Imlach,Builder
1984,lemaija01h,Jacques Lemaire,Player
1984,milfoja01h,Jake Milford,Builder
1984,parenbe01h,Bernie Parent,Player
1985,cheevge01h,Gerry Cheevers,Player
1985,mariujo01h,John Mariucci,Builder
1985,olmstbe01h,Bert Olmstead,Player
1985,pilouru01h,Rudy Pilous,Builder
1985,ratelje01h,Jean Ratelle,Player
1986,boivile01h,Leo Boivin,Player
1986,keonda01h,Dave Keon,Player
1986,savarse01h,Serge Savard,Player
1986,hanlebi01h,Bill Hanley,Builder
1987,clarkbo01h,Bobby Clarke,Player
1987,giacoed01h,Ed Giacomin,Player
1987,laperja01h,Jacques Laperriere,Player
1987,pavelma03h,Matt Pavelich,Referee/Linesman
1987,ziegljo01h,John Ziegler,Builder
1988,esposto01h,Tony Esposito,Player
1988,laflegu01h,Guy Lafleur,Player
1988,oconnbu01h,Buddy O'Connor,Player
1988,parkbr01h,Brad Park,Player
1988,hayesge01h,George Hayes,Referee/Linesman
1988,snideed01h,Edward Snider,Builder
1989,lewishe01h,Herbie Lewis,Player
1989,sittlda01h,Darryl Sittler,Player
1989,tretivl01h,Vladislav Tretiak,Player
1989,bauerda01h,David Bauer,Builder
1990,barbebi01h,Bill Barber,Player
1990,flamafe01h,Fern Flaman,Player
1990,perregi01h,Gilbert Perreault,Player
1990,poilebu01h,Bud Poile,Builder
1991,bossymi01h,Mike Bossy,Player
1991,bowmasc01h,Scotty Bowman,Builder
1991,potvide01h,Denis Potvin,Player
1991,pulfobo01h,Bob Pulford,Player
1991,smithcl01h,Clint Smith,Player
1991,armstne01h,Neil Armstrong,Referee/Linesman
1992,johnsbo02h,Bob Johnson,Builder
1992,dionnma01h,Marcel Dionne,Player
1992,dumarwo01h,Woody Dumart,Player
1992,gainebo01h,Bob Gainey,Player
1992,mathefr01h,Frank Mathers,Builder
1992,mcdonla01h,Lanny McDonald,Player
1992,allenke01h,Keith Allen,Builder
1993,lapoigu01h,Guy Lapointe,Player
1993,lapraed01h,Edgar Laprade,Player
1993,shuttst01h,Steve Shutt,Player
1993,smithbi01h,Billy Smith,Player
1993,damicjo01h,John D'Amico,Referee/Linesman
1993,grifffr01h,Frank Griffiths,Builder
1993,knoxse01h,Seymour Knox,Builder
1993,pagefr01h,Fred Page,Builder
1994,conacli01h,Lionel Conacher,Player
1994,watsoha02h,Harry Watson,Player
1994,oneilbr01h,Brian O'Neill,Builder
1995,cookbu01h,Bun Cook,Player
1995,robinla01h,Larry Robinson,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1995,torrebi01h,Bill Torrey,Builder
1996,arboual01h,Al Arbour,Builder
1996,bauerbo01h,Bobby Bauer,Player
1996,salmibo01h,Borje Salming,Player
1997,lemiema01h,Mario Lemieux,Player
1997,sathegl01h,Glen Sather,Builder
1997,trottbr01h,Bryan Trottier,Player
1998,conacro01h,Roy Conacher,Player
1998,goulemi01h,Michel Goulet,Player
1998,stastpe01h,Peter Stastny,Player
1998,murraat01h,Athol Murray,Builder
1999,gretzwa01h,Wayne Gretzky,Player
1999,morriia01h,Scotty Morrison,Builder
1999,vanhean01h,Andy Van Hellemond,Referee/Linesman
2000,mullejo01h,Joe Mullen,Player
2000,savarde01h,Denis Savard,Player
2000,bushwa01h,Walter Bush,Builder
2001,fetisvi01h,Viacheslav Fetisov,Player
2001,gartnmi01h,Mike Gartner,Player
2001,hawerda01h,Dale Hawerchuk,Player
2001,kurrija01h,Jari Kurri,Player
2001,patricr01h,Craig Patrick,Builder
2002,neilsro01h,Roger Neilson,Builder
2002,federbe01h,Bernie Federko,Player
2002,gillicl01h,Clark Gillies,Player
2002,langwro01h,Rod Langway,Player
2003,fuhrgr01h,Grant Fuhr,Player
2003,kilrebr01h,Brian Kilrea,Builder
2003,lafonpa01h,Pat LaFontaine,Player
2003,ilitcmi01h,Mike Illitch,Builder
2004,bourqra01h,Raymond Bourque,Player
2004,coffepa01h,Paul Coffey,Player
2004,murphla01h,Larry Murphy,Player
2004,fletccl01h,Cliff Fletcher,Builder
2005,costemu01h,Murray Costello,Builder
2005,kharlva01h,Valeri Kharlamov,Player
2005,neelyca01h,Cam Neely,Player
2006,brookhe01h,Herb Brooks,Builder
2006,duffdi01h,Dick Duff,Player
2006,roypa01h,Patrick Roy,Player
2006,hotchha01h,Harley Hotchkiss,Builder
2007,francro01h,Ron Francis,Player
2007,macinal01h,Al MacInnis,Player
2007,messima01h,Mark Messier,Player
2007,stevesc01h,Scott Stevens,Player
2007,gregoji01h,Jim Gregory,Builder
2008,andergl01h,Glenn Anderson,Player
2008,larioig01h,Igor Larionov,Player
2008,chynoed01h,Ed Chynoweth,Builder
2008,scapira01h,Ray Scapinello,Referee/Linesman
2009,lamorlo01h,Lou Lamoriello,Builder
2009,hullbr01h,Brett Hull,Player
2009,leetcbr01h,Brian Leetch,Player
2009,robitlu01h,Luc Robitaille,Player
2009,yzermst01h,Steve Yzerman,Player
2010,ciccadi01h,Dino Ciccarelli,Player
2010,develji01h,Jim Devellano,Builder
2010,granaca01h,Cammi Granato,Player
2010,jamesan01h,Angela James,Player
2010,seamado01h,Doc Seaman,Builder
2011,belfoed01h,Ed Belfour,Player
2011,gilmodo01h,Doug Gilmour,Player
2011,howema01h,Mark Howe,Player
2011,nieuwjo01h,Joe Nieuwendyk,Player
