year,round,series,tmIDWinner,lgIDWinner,tmIDLoser,lgIDLoser,W,L,T,GoalsWinner,GoalsLoser,note
1922,F,,VAM,PCHA,VC1,PCHA,1,1,0,5,3,TG
1922,F,,EDE,WCHL,REG,WCHL,1,0,1,4,3,TG
1922,SCSF,,OTS,NHL,VAM,PCHA,3,1,0,10,7,
1922,SCF,,OTS,NHL,EDE,WCHL,2,0,0,3,1,
1923,F,,MTL,NHL,OTS,NHL,2,0,0,5,2,TG
1923,F,,VAM,PCHA,SEA,PCHA,1,0,1,4,3,TG
1923,F,,CAT,WCHL,REG,WCHL,1,0,1,4,2,TG
1923,WP,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
1923,SCSF,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1923,SCF,,MTL,NHL,CAT,WCHL,2,0,0,9,1,
1924,SF,,MTL,NHL,TRS,NHL,2,0,0,5,2,TG
1924,F,,MTL,NHL,HAM,NHL,0,0,0,0,0,DEF
1924,SF,,VIC,WCHL,SAS,WCHL,1,0,1,6,4,TG
1924,F,,VIC,WCHL,CAT,WCHL,1,0,1,3,1,TG
1924,SCF,,VIC,WCHL,MTL,NHL,3,1,0,16,8,
1925,SF,,MTM,NHL,PIP,NHL,1,0,1,6,4,TG
1925,F,,MTM,NHL,OTS,NHL,1,0,1,2,1,TG
1925,SF,,VIC,WCHL,SAS,WCHL,1,0,1,4,3,TG
1925,F,,VIC,WCHL,EDE,WCHL,1,0,1,5,3,TG
1925,SCF,,MTM,NHL,VIC,WCHL,3,1,0,10,3,
1926,QF,A,MTL,NHL,MTM,NHL,1,0,1,2,1,TG
1926,QF,B,BOS,NHL,CHI,NHL,1,0,1,10,5,TG
1926,SF,C,OTS,NHL,MTL,NHL,1,0,1,5,1,TG
1926,SF,D,BOS,NHL,NYR,NHL,1,0,1,3,1,TG
1926,SCF,E,OTS,NHL,BOS,NHL,2,0,2,7,3,
1927,QF,A,MTM,NHL,OTS,NHL,2,0,0,3,1,TG
1927,QF,B,NYR,NHL,PIP,NHL,1,1,0,6,4,TG
1927,SF,C,MTM,NHL,MTL,NHL,1,0,1,3,2,TG
1927,SF,D,NYR,NHL,BOS,NHL,1,0,1,5,2,TG
1927,SCF,E,NYR,NHL,MTM,NHL,3,2,0,5,6,
1928,SF,A,BOS,NHL,MTL,NHL,3,0,0,5,2,
1928,QF,B,NYR,NHL,NYA,NHL,1,0,1,1,0,TG
1928,QF,C,TOR,NHL,DTC,NHL,2,0,0,7,2,TG
1928,SF,D,NYR,NHL,TOR,NHL,2,0,0,3,1,
1928,SCF,E,BOS,NHL,NYR,NHL,2,0,0,4,1,
1929,SF,A,BOS,NHL,MTM,NHL,3,1,0,11,5,
1929,QF,B,MTL,NHL,CHI,NHL,1,0,1,3,2,TG
1929,QF,C,NYR,NHL,OTS,NHL,1,0,1,6,3,TG
1929,SF,D,MTL,NHL,NYR,NHL,2,0,0,4,1,
1929,SCF,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
1930,SF,A,MTL,NHL,BOS,NHL,3,2,0,13,13,
1930,QF,B,CHI,NHL,TOR,NHL,1,0,1,4,3,TG
1930,QF,C,NYR,NHL,MTM,NHL,2,0,0,8,1,TG
1930,SF,D,CHI,NHL,NYR,NHL,2,0,0,3,0,TG
1930,SCF,E,MTL,NHL,CHI,NHL,3,2,0,11,8,
1931,SF,A,NYR,NHL,MTL,NHL,3,1,0,13,9,
1931,QF,B,TOR,NHL,CHI,NHL,1,1,0,6,2,TG
1931,QF,C,MTM,NHL,DTF,NHL,1,0,1,3,1,TG
1931,SF,D,TOR,NHL,MTM,NHL,1,0,1,4,3,TG
1931,SCF,E,TOR,NHL,NYR,NHL,3,0,0,18,10,
1932,SF,A,TOR,NHL,BOS,NHL,3,2,0,9,7,
1932,QF,B,DET,NHL,MTM,NHL,2,0,0,5,2,TG
1932,QF,C,NYR,NHL,MTL,NHL,1,0,1,8,5,TG
1932,SF,D,NYR,NHL,DET,NHL,2,0,0,6,3,TG
1932,SCF,E,NYR,NHL,TOR,NHL,3,1,0,11,5,
1933,SF,A,DET,NHL,TOR,NHL,3,2,0,11,12,
1933,QF,B,CHI,NHL,MTL,NHL,1,0,1,4,3,TG
1933,QF,C,MTM,NHL,NYR,NHL,1,0,1,2,1,TG
1933,SF,D,CHI,NHL,MTM,NHL,2,0,0,6,2,TG
1933,SCF,E,CHI,NHL,DET,NHL,3,1,0,9,7,
1934,SF,A,TOR,NHL,BOS,NHL,3,1,0,7,2,
1934,QF,B,MTM,NHL,CHI,NHL,1,0,1,1,0,TG
1934,QF,C,NYR,NHL,MTL,NHL,2,0,0,6,5,TG
1934,SF,D,MTM,NHL,NYR,NHL,1,0,1,5,4,TG
1934,SCF,E,MTM,NHL,TOR,NHL,3,0,0,10,4,
1935,SF,A,DET,NHL,MTM,NHL,3,0,0,6,1,
1935,QF,B,TOR,NHL,BOS,NHL,1,1,0,8,6,TG
1935,QF,C,NYA,NHL,CHI,NHL,1,1,0,7,5,TG
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
1935,SCF,E,DET,NHL,TOR,NHL,3,1,0,18,11,
1936,SF,A,DET,NHL,MTL,NHL,3,2,0,13,8,
1936,QF,B,MTM,NHL,BOS,NHL,2,1,0,8,6,
1936,QF,C,NYR,NHL,TOR,NHL,2,0,0,5,1,
1936,SF,D,NYR,NHL,MTM,NHL,2,0,0,5,0,
1936,SCF,E,DET,NHL,NYR,NHL,3,2,0,9,8,
1937,SF,A,TOR,NHL,BOS,NHL,3,0,0,6,3,
1937,QF,B,NYA,NHL,NYR,NHL,2,1,0,8,7,
1937,QF,C,CHI,NHL,MTL,NHL,2,1,0,11,8,
1937,SF,D,CHI,NHL,NYA,NHL,2,1,0,5,5,
1937,SCF,E,CHI,NHL,TOR,NHL,3,1,0,10,8,
1938,SF,A,BOS,NHL,NYR,NHL,4,3,0,14,12,
1938,QF,B,TOR,NHL,NYA,NHL,2,0,0,6,0,
1938,QF,C,DET,NHL,MTL,NHL,2,1,0,8,5,
1938,SF,D,TOR,NHL,DET,NHL,2,1,0,10,8,
1938,SCF,E,BOS,NHL,TOR,NHL,4,1,0,12,6,
1939,SF,A,NYR,NHL,BOS,NHL,4,2,0,15,9,
1939,QF,B,TOR,NHL,CHI,NHL,2,0,0,5,3,
1939,QF,C,DET,NHL,NYA,NHL,2,1,0,9,7,
1939,SF,D,TOR,NHL,DET,NHL,2,0,0,5,2,
1939,SCF,E,NYR,NHL,TOR,NHL,4,2,0,14,11,
1940,SF,A,BOS,NHL,TOR,NHL,4,3,0,15,17,
1940,QF,B,DET,NHL,NYR,NHL,2,1,0,6,6,
1940,QF,C,CHI,NHL,MTL,NHL,2,1,0,8,7,
1940,SF,D,DET,NHL,CHI,NHL,2,0,0,5,2,
1940,SCF,E,BOS,NHL,DET,NHL,4,0,0,12,6,
1941,SF,A,TOR,NHL,NYR,NHL,4,2,0,13,12,
1941,QF,B,BOS,NHL,CHI,NHL,2,1,0,5,7,
1941,QF,C,DET,NHL,MTL,NHL,2,1,0,8,8,
1941,SF,D,DET,NHL,BOS,NHL,2,0,0,9,5,
1941,SCF,E,TOR,NHL,DET,NHL,4,3,0,25,19,
1942,SF,A,DET,NHL,TOR,NHL,4,2,0,20,17,
1942,SF,B,BOS,NHL,MTL,NHL,4,1,0,18,17,
1942,SCF,C,DET,NHL,BOS,NHL,4,0,0,16,5,
1943,SF,A,MTL,NHL,TOR,NHL,4,1,0,23,6,
1943,SF,B,CHI,NHL,DET,NHL,4,1,0,17,8,
1943,SCF,C,MTL,NHL,CHI,NHL,4,0,0,16,8,
1944,SF,A,TOR,NHL,MTL,NHL,4,2,0,15,21,
1944,SF,B,DET,NHL,BOS,NHL,4,3,0,22,22,
1944,SCF,C,TOR,NHL,DET,NHL,4,3,0,9,9,
1945,SF,A,MTL,NHL,CHI,NHL,4,0,0,26,7,
1945,SF,B,BOS,NHL,DET,NHL,4,1,0,16,10,
1945,SCF,C,MTL,NHL,BOS,NHL,4,1,0,19,13,
1946,SF,A,MTL,NHL,BOS,NHL,4,1,0,16,10,
1946,SF,B,TOR,NHL,DET,NHL,4,1,0,18,14,
1946,SCF,C,TOR,NHL,MTL,NHL,4,2,0,13,13,
1947,SF,A,TOR,NHL,BOS,NHL,4,1,0,20,13,
1947,SF,B,DET,NHL,NYR,NHL,4,2,0,17,12,
1947,SCF,C,TOR,NHL,DET,NHL,4,0,0,18,7,
1948,SF,A,DET,NHL,MTL,NHL,4,3,0,17,14,
1948,SF,B,TOR,NHL,BOS,NHL,4,1,0,16,10,
1948,SCF,C,TOR,NHL,DET,NHL,4,0,0,12,5,
1949,SF,A,DET,NHL,TOR,NHL,4,3,0,10,11,
1949,SF,B,NYR,NHL,MTL,NHL,4,1,0,15,7,
1949,SCF,C,DET,NHL,NYR,NHL,4,3,0,22,17,
1950,SF,A,MTL,NHL,DET,NHL,4,2,0,13,12,
1950,SF,B,TOR,NHL,BOS,NHL,4,1,1,17,5,
1950,SCF,C,TOR,NHL,MTL,NHL,4,1,0,13,10,
1951,SF,A,DET,NHL,TOR,NHL,4,0,0,13,3,
1951,SF,B,MTL,NHL,BOS,NHL,4,3,0,18,12,
1951,SCF,C,DET,NHL,MTL,NHL,4,0,0,11,2,
1952,SF,A,BOS,NHL,DET,NHL,4,2,0,21,21,
1952,SF,B,MTL,NHL,CHI,NHL,4,3,0,18,14,
1952,SCF,C,MTL,NHL,BOS,NHL,4,1,0,16,9,
1953,SF,A,DET,NHL,TOR,NHL,4,1,0,15,8,
1953,SF,B,MTL,NHL,BOS,NHL,4,0,0,16,4,
1953,SCF,C,DET,NHL,MTL,NHL,4,3,0,14,12,
1954,SF,A,DET,NHL,TOR,NHL,4,0,0,14,6,
1954,SF,B,MTL,NHL,BOS,NHL,4,1,0,16,9,
1954,SCF,C,DET,NHL,MTL,NHL,4,3,0,27,20,
1955,SF,A,MTL,NHL,NYR,NHL,4,1,0,24,9,
1955,SF,B,DET,NHL,TOR,NHL,4,1,0,14,10,
1955,SCF,C,MTL,NHL,DET,NHL,4,1,0,18,9,
1956,SF,A,BOS,NHL,DET,NHL,4,1,0,15,14,
1956,SF,B,MTL,NHL,NYR,NHL,4,1,0,22,12,
1956,SCF,C,MTL,NHL,BOS,NHL,4,1,0,15,6,
1957,SF,A,MTL,NHL,DET,NHL,4,0,0,19,6,
1957,SF,B,BOS,NHL,NYR,NHL,4,2,0,28,16,
1957,SCF,C,MTL,NHL,BOS,NHL,4,2,0,16,14,
1958,SF,A,MTL,NHL,CHI,NHL,4,2,0,21,16,
1958,SF,B,TOR,NHL,BOS,NHL,4,3,0,20,21,
1958,SCF,C,MTL,NHL,TOR,NHL,4,1,0,18,12,
1959,SF,A,MTL,NHL,CHI,NHL,4,0,0,14,6,
1959,SF,B,TOR,NHL,DET,NHL,4,2,0,20,16,
1959,SCF,C,MTL,NHL,TOR,NHL,4,0,0,15,5,
1960,SF,A,CHI,NHL,MTL,NHL,4,2,0,16,15,
1960,SF,B,DET,NHL,TOR,NHL,4,1,0,15,8,
1960,SCF,C,CHI,NHL,DET,NHL,4,2,0,19,12,
1961,SF,A,CHI,NHL,MTL,NHL,4,2,0,19,13,
1961,SF,B,TOR,NHL,NYR,NHL,4,2,0,22,15,
1961,SCF,C,TOR,NHL,CHI,NHL,4,2,0,18,15,
1962,SF,A,TOR,NHL,MTL,NHL,4,1,0,14,6,
1962,SF,B,DET,NHL,CHI,NHL,4,2,0,25,19,
1962,SCF,C,TOR,NHL,DET,NHL,4,1,0,17,10,
1963,SF,A,TOR,NHL,MTL,NHL,4,3,0,17,14,
1963,SF,B,DET,NHL,CHI,NHL,4,3,0,24,18,
1963,SCF,C,TOR,NHL,DET,NHL,4,3,0,22,17,
1964,SF,A,CHI,NHL,DET,NHL,4,3,0,23,19,
1964,SF,B,MTL,NHL,TOR,NHL,4,2,0,17,14,
1964,SCF,C,MTL,NHL,CHI,NHL,4,3,0,18,12,
1965,SF,A,MTL,NHL,TOR,NHL,4,0,0,15,6,
1965,SF,B,DET,NHL,CHI,NHL,4,2,0,22,10,
1965,SCF,C,MTL,NHL,DET,NHL,4,2,0,18,14,
1966,SF,A,TOR,NHL,CHI,NHL,4,2,0,18,14,
1966,SF,B,MTL,NHL,NYR,NHL,4,0,0,14,8,
1966,SCF,C,TOR,NHL,MTL,NHL,4,2,0,17,16,
1967,QF,A,MTL,NHL,BOS,NHL,4,0,0,15,8,
1967,QF,B,CHI,NHL,NYR,NHL,4,2,0,18,12,
1967,QF,C,STL,NHL,PHI,NHL,4,3,0,17,17,
1967,QF,D,MNS,NHL,LAK,NHL,4,3,0,26,21,
1967,SF,E,MTL,NHL,CHI,NHL,4,1,0,22,10,
1967,SF,F,STL,NHL,MNS,NHL,4,3,0,18,22,
1967,SCF,G,MTL,NHL,STL,NHL,4,0,0,11,7,
1968,QF,A,MTL,NHL,NYR,NHL,4,0,0,16,7,
1968,QF,B,BOS,NHL,TOR,NHL,4,0,0,24,5,
1968,QF,C,STL,NHL,PHI,NHL,4,0,0,17,3,
1968,QF,D,LAK,NHL,OAK,NHL,4,3,0,23,25,
1968,SF,E,MTL,NHL,BOS,NHL,4,2,0,15,16,
1968,SF,F,STL,NHL,LAK,NHL,4,0,0,16,5,
1968,SCF,G,MTL,NHL,STL,NHL,4,0,0,12,3,
1969,QF,A,CHI,NHL,DET,NHL,4,0,0,16,8,
1969,QF,B,BOS,NHL,NYR,NHL,4,2,0,25,16,
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
1969,QF,D,PIT,NHL,OAK,NHL,4,0,0,13,6,
1969,SF,E,BOS,NHL,CHI,NHL,4,0,0,20,10,
1969,SF,F,STL,NHL,PIT,NHL,4,2,0,19,10,
1969,SCF,G,BOS,NHL,STL,NHL,4,0,0,20,7,
1970,QF,A,MTL,NHL,BOS,NHL,4,3,0,28,26,
1970,QF,B,NYR,NHL,TOR,NHL,4,2,0,16,15,
1970,QF,C,CHI,NHL,PHI,NHL,4,0,0,20,8,
1970,QF,D,MNS,NHL,STL,NHL,4,2,0,16,15,
1970,SF,E,MTL,NHL,MNS,NHL,4,2,0,27,19,
1970,SF,F,CHI,NHL,NYR,NHL,4,3,0,21,14,
1970,SCF,G,MTL,NHL,CHI,NHL,4,3,0,20,18,
1971,QF,A,BOS,NHL,TOR,NHL,4,1,0,18,10,
1971,QF,B,NYR,NHL,MTL,NHL,4,2,0,19,14,
1971,QF,C,CHI,NHL,PIT,NHL,4,0,0,14,8,
1971,QF,D,STL,NHL,MNS,NHL,4,3,0,19,19,
1971,SF,E,BOS,NHL,STL,NHL,4,0,0,28,8,
1971,SF,F,NYR,NHL,CHI,NHL,4,0,0,17,9,
1971,SCF,G,BOS,NHL,NYR,NHL,4,2,0,18,16,
1972,QF,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1972,QF,B,NYR,NHL,BOS,NHL,4,1,0,22,11,
1972,QF,C,CHI,NHL,STL,NHL,4,1,0,22,9,
1972,QF,D,PHI,NHL,MNS,NHL,4,2,0,14,12,
1972,SF,E,MTL,NHL,PHI,NHL,4,1,0,19,13,
1972,SF,F,CHI,NHL,NYR,NHL,4,1,0,15,11,
1972,SCF,G,MTL,NHL,CHI,NHL,4,2,0,33,23,
1972,Pre,,MFS,WHA,ALB,WHA,1,0,0,4,2,
1972,DSF,,CLC,WHA,PHB,WHA,4,0,0,19,6,
1972,DSF,,NEW,WHA,OTN,WHA,4,1,0,24,17,
1972,DSF,,HOU,WHA,LAS,WHA,4,2,0,23,16,
1972,DSF,,WIJ,WHA,MFS,WHA,4,1,0,23,16,
1972,DF,,NEW,WHA,CLC,WHA,4,1,0,16,14,
1972,DF,,WIJ,WHA,HOU,WHA,4,0,0,14,3,
1972,ACF,,NEW,WHA,WIJ,WHA,4,1,0,30,18,
1973,QF,A,BOS,NHL,TOR,NHL,4,0,0,17,9,
1973,QF,B,NYR,NHL,MTL,NHL,4,2,0,21,17,
1973,QF,C,PHI,NHL,ATF,NHL,4,0,0,17,6,
1973,QF,D,CHI,NHL,LAK,NHL,4,1,0,10,7,
1973,SF,E,BOS,NHL,CHI,NHL,4,2,0,28,20,
1973,SF,F,PHI,NHL,NYR,NHL,4,3,0,22,17,
1973,SCF,G,PHI,NHL,BOS,NHL,4,2,0,15,13,
1973,DSF,,CHC,WHA,NEW,WHA,4,3,0,24,23,
1973,DSF,,TOT,WHA,CLC,WHA,4,1,0,18,9,
1973,DSF,,MFS,WHA,EDO,WHA,4,1,0,22,14,
1973,DSF,,HOU,WHA,WIJ,WHA,4,0,0,23,9,
1973,DF,,CHC,WHA,TOT,WHA,4,3,0,34,27,
1973,DF,,HOU,WHA,MFS,WHA,4,2,0,26,17,
1973,ACF,,HOU,WHA,CHC,WHA,4,0,0,22,9,
1974,Pre,A,TOR,NHL,LAK,NHL,2,1,0,7,6,
1974,Pre,B,CHI,NHL,BOS,NHL,2,1,0,12,15,
1974,Pre,C,PIT,NHL,STL,NHL,2,0,0,9,6,
1974,Pre,D,NYI,NHL,NYR,NHL,2,1,0,10,13,
1974,QF,E,PHI,NHL,TOR,NHL,4,0,0,15,6,
1974,QF,F,BUF,NHL,CHI,NHL,4,1,0,20,10,
1974,QF,G,MTL,NHL,VAN,NHL,4,1,0,20,9,
1974,QF,H,NYI,NHL,PIT,NHL,4,3,0,21,18,
1974,SF,I,PHI,NHL,NYI,NHL,4,3,0,19,16,
1974,SF,J,BUF,NHL,MTL,NHL,4,2,0,21,29,
1974,SCF,K,PHI,NHL,BUF,NHL,4,2,0,19,12,
1974,QF,,QUN,WHA,PHR,WHA,4,1,0,23,12,
1974,QF,,MFS,WHA,NEW,WHA,4,2,0,28,17,
1974,QF,,SDM,WHA,TOT,WHA,4,2,0,29,27,
1974,QF,,HOU,WHA,CLC,WHA,4,1,0,24,14,
1974,SF,,QUN,WHA,MFS,WHA,4,2,0,25,16,
1974,SF,,HOU,WHA,SDM,WHA,4,0,0,17,5,
1974,ACF,,HOU,WHA,QUN,WHA,4,0,0,20,7,
1975,Pre,A,BUF,NHL,STL,NHL,2,1,0,7,8,
1975,Pre,B,NYI,NHL,VAN,NHL,2,0,0,8,4,
1975,Pre,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
1975,Pre,D,TOR,NHL,PIT,NHL,2,1,0,8,3,
1975,QF,E,MTL,NHL,CHI,NHL,4,0,0,13,3,
1975,QF,F,PHI,NHL,TOR,NHL,4,3,0,33,23,
1975,QF,G,BOS,NHL,LAK,NHL,4,3,0,26,14,
1975,QF,H,NYI,NHL,BUF,NHL,4,2,0,21,18,
1975,SF,I,MTL,NHL,NYI,NHL,4,1,0,17,14,
1975,SF,J,PHI,NHL,BOS,NHL,4,1,0,19,12,
1975,SCF,K,MTL,NHL,PHI,NHL,4,0,0,14,9,
1975,Pre,,NEW,WHA,CLC,WHA,3,0,0,14,6,
1975,Pre,,PHR,WHA,SDM,WHA,2,3,0,13,17,
1975,QF,,WIJ,WHA,EDO,WHA,4,0,0,22,11,
1975,QF,,CAC,WHA,QUN,WHA,4,1,0,23,15,
1975,QF,,NEW,WHA,IND,WHA,4,3,0,18,15,
1975,QF,,HOU,WHA,SDM,WHA,4,2,0,26,19,
1975,SF,,WIJ,WHA,CAC,WHA,4,1,0,22,13,
1975,SF,,HOU,WHA,NEW,WHA,4,3,0,19,21,
1975,ACF,,WIJ,WHA,HOU,WHA,4,0,0,24,11,
1976,Pre,A,NYI,NHL,CHI,NHL,2,0,0,7,3,
1976,Pre,B,BUF,NHL,MNS,NHL,2,0,0,11,3,
1976,Pre,C,LAK,NHL,ATF,NHL,2,1,0,11,7,
1976,Pre,D,TOR,NHL,PIT,NHL,2,1,0,13,10,
1976,QF,E,MTL,NHL,STL,NHL,4,0,0,19,4,
1976,QF,F,PHI,NHL,TOR,NHL,4,2,0,19,18,
1976,QF,G,BOS,NHL,LAK,NHL,4,2,0,30,24,
1976,QF,H,NYI,NHL,BUF,NHL,4,0,0,16,10,
1976,SF,I,MTL,NHL,NYI,NHL,4,2,0,19,13,
1976,SF,J,BOS,NHL,PHI,NHL,4,0,0,14,8,
1976,SCF,K,MTL,NHL,BOS,NHL,4,0,0,16,6,
1976,DSF,,QUN,WHA,NEW,WHA,4,1,0,23,14,
1976,DSF,,IND,WHA,CIN,WHA,4,0,0,19,9,
1976,DSF,,WIJ,WHA,SDM,WHA,4,3,0,28,19,
1976,DSF,,HOU,WHA,EDO,WHA,4,1,0,20,16,
1976,DF,,QUN,WHA,IND,WHA,4,1,0,25,14,
1976,DF,,WIJ,WHA,HOU,WHA,4,2,0,24,23,
1976,ACF,,QUN,WHA,WIJ,WHA,4,3,0,31,28,
1977,Pre,A,PHI,NHL,COR,NHL,2,0,0,6,3,
1977,Pre,B,BUF,NHL,NYR,NHL,2,1,0,11,6,
1977,Pre,C,TOR,NHL,LAK,NHL,2,0,0,11,3,
1977,Pre,D,DET,NHL,ATF,NHL,2,0,0,8,5,
1977,QF,E,MTL,NHL,DET,NHL,4,1,0,24,10,
1977,QF,F,BOS,NHL,CHI,NHL,4,0,0,19,9,
1977,QF,G,TOR,NHL,NYI,NHL,4,3,0,16,13,
1977,QF,H,PHI,NHL,BUF,NHL,4,1,0,16,11,
1977,SF,I,MTL,NHL,TOR,NHL,4,0,0,16,6,
1977,SF,J,BOS,NHL,PHI,NHL,4,1,0,21,15,
1977,SCF,K,MTL,NHL,BOS,NHL,4,2,0,18,13,
1977,QF,,WIJ,WHA,BIR,WHA,4,1,0,29,12,
1977,QF,,NEW,WHA,EDO,WHA,4,1,0,23,9,
1977,QF,,QUN,WHA,HOU,WHA,4,2,0,29,16,
1977,SF,,QUN,WHA,NEW,WHA,1,4,0,14,25,
1977,ACF,,WIJ,WHA,NEW,WHA,4,0,0,24,8,
1978,Pre,A,PHI,NHL,VAN,NHL,2,1,0,15,9,
1978,Pre,B,NYR,NHL,LAK,NHL,2,0,0,9,2,
1978,Pre,C,TOR,NHL,ATF,NHL,2,0,0,9,5,
1978,Pre,D,PIT,NHL,BUF,NHL,2,1,0,9,9,
1978,QF,E,NYI,NHL,CHI,NHL,4,0,0,14,3,
1978,QF,F,MTL,NHL,TOR,NHL,4,0,0,19,10,
1978,QF,G,BOS,NHL,PIT,NHL,4,0,0,16,7,
1978,QF,H,NYR,NHL,PHI,NHL,4,1,0,28,8,
1978,SF,I,NYR,NHL,NYI,NHL,4,2,0,18,13,
1978,SF,J,MTL,NHL,BOS,NHL,4,3,0,25,20,
1978,SCF,K,MTL,NHL,NYR,NHL,4,1,0,19,11,
1978,Pre,,NEW,WHA,CIN,WHA,2,1,0,10,10,
1978,SF,,WIJ,WHA,QUN,WHA,4,0,0,30,12,
1978,SF,,EDO,WHA,NEW,WHA,4,3,0,35,29,
1978,ACF,,WIJ,WHA,EDO,WHA,4,2,0,21,26,
1979,Pre,A,PHI,NHL,EDM,NHL,3,0,0,12,6,
1979,Pre,B,BUF,NHL,VAN,NHL,3,1,0,15,7,
1979,Pre,C,MTL,NHL,HAR,NHL,3,0,0,18,8,
1979,Pre,D,BOS,NHL,PIT,NHL,3,2,0,21,14,
1979,Pre,E,NYI,NHL,LAK,NHL,3,1,0,21,10,
1979,Pre,F,MNS,NHL,TOR,NHL,3,0,0,17,8,
1979,Pre,G,CHI,NHL,STL,NHL,3,0,0,12,4,
1979,Pre,H,NYR,NHL,ATF,NHL,3,1,0,14,8,
1979,QF,I,PHI,NHL,NYR,NHL,4,1,0,14,7,
1979,QF,J,BUF,NHL,CHI,NHL,4,0,0,16,7,
1979,QF,K,MNS,NHL,MTL,NHL,4,3,0,18,21,
1979,QF,L,NYI,NHL,BOS,NHL,4,1,0,19,14,
1979,SF,M,PHI,NHL,MNS,NHL,4,1,0,27,14,
1979,SF,N,NYI,NHL,BUF,NHL,4,2,0,22,17,
1979,SCF,O,NYI,NHL,PHI,NHL,4,2,0,26,25,
1980,Pre,A,NYI,NHL,TOR,NHL,3,0,0,20,4,
1980,Pre,B,STL,NHL,PIT,NHL,3,2,0,20,21,
1980,Pre,C,EDM,NHL,MTL,NHL,3,0,0,15,6,
1980,Pre,D,NYR,NHL,LAK,NHL,3,1,0,23,12,
1980,Pre,E,BUF,NHL,VAN,NHL,3,0,0,13,7,
1980,Pre,F,PHI,NHL,QUE,NHL,3,2,0,22,17,
1980,Pre,G,CAL,NHL,CHI,NHL,3,0,0,15,9,
1980,Pre,H,MNS,NHL,BOS,NHL,3,0,0,20,13,
1980,QF,I,NYI,NHL,EDM,NHL,4,2,0,29,20,
1980,QF,J,NYR,NHL,STL,NHL,4,2,0,29,22,
1980,QF,K,MNS,NHL,BUF,NHL,4,1,0,23,17,
1980,QF,L,CAL,NHL,PHI,NHL,4,3,0,22,26,
1980,SF,M,NYI,NHL,NYR,NHL,4,0,0,22,8,
1980,SF,N,MNS,NHL,CAL,NHL,4,2,0,25,18,
1980,SCF,O,NYI,NHL,MNS,NHL,4,1,0,26,16,
1981,DSF,A,QUE,NHL,MTL,NHL,3,2,0,11,16,
1981,DSF,B,BOS,NHL,BUF,NHL,3,1,0,17,11,
1981,DSF,C,CHI,NHL,MNS,NHL,3,1,0,14,14,
1981,DSF,D,STL,NHL,WIN,NHL,3,1,0,20,13,
1981,DSF,E,NYI,NHL,PIT,NHL,3,2,0,22,13,
1981,DSF,F,NYR,NHL,PHI,NHL,3,1,0,19,15,
1981,DSF,G,LAK,NHL,EDM,NHL,3,2,0,27,23,
1981,DSF,H,VAN,NHL,CAL,NHL,3,0,0,10,5,
1981,DF,I,QUE,NHL,BOS,NHL,4,3,0,28,26,
1981,DF,J,CHI,NHL,STL,NHL,4,2,0,23,19,
1981,DF,K,NYI,NHL,NYR,NHL,4,2,0,27,20,
