coachID,year,tmID,lgID,stint,notes,g,w,l,t,postg,postw,postl,postt
arboual01c,1975,NYI,NHL,1,,80,42,21,17,13,7,6,0
arboual01c,1976,NYI,NHL,1,,80,47,21,12,12,8,4,0
arboual01c,1977,NYI,NHL,1,,80,48,17,15,7,3,4,0
arboual01c,1978,NYI,NHL,1,,80,51,15,14,10,6,4,0
arboual01c,1979,NYI,NHL,1,,80,39,28,13,21,15,6,0
arboual01c,1980,NYI,NHL,1,,80,48,18,14,18,15,3,0
arboual01c,1981,NYI,NHL,1,,80,54,16,10,19,15,4,0
arboual01c,1982,NYI,NHL,1,,80,42,26,12,20,15,5,0
arboual01c,1983,NYI,NHL,1,,80,50,26,4,21,12,9,0
arboual01c,1984,NYI,NHL,1,,80,40,34,6,10,4,6,0
arboual01c,1985,NYI,NHL,1,,80,39,29,12,3,0,3,0
arboual01c,1988,NYI,NHL,2,,53,21,29,3,,,,
arboual01c,1989,NYI,NHL,1,,80,31,38,11,5,1,4,0
arboual01c,1990,NYI,NHL,1,,80,25,45,10,,,,
arboual01c,1991,NYI,NHL,1,,80,34,35,11,,,,
arboual01c,1992,NYI,NHL,1,,84,40,37,7,18,9,9,0
arboual01c,1993,NYI,NHL,1,,84,36,36,12,4,0,4,0
arboual01c,2007,NYI,NHL,2,interim,1,1,0,0,,,,
armstge01c,1988,TOR,NHL,2,,47,17,26,4,,,,
arniesc01c,2010,CBS,NHL,1,,82,34,35,13,,,,
arniesc01c,2011,CBS,NHL,1,,41,11,25,5,,,,
babcomi01c,2002,ANA,NHL,1,,82,40,33,9,21,15,6,0
babcomi01c,2003,ANA,NHL,1,,82,29,43,10,,,,
babcomi01c,2005,DET,NHL,1,,82,58,16,8,6,2,4,0
babcomi01c,2006,DET,NHL,1,,82,50,19,13,18,10,8,0
babcomi01c,2007,DET,NHL,1,,82,54,21,7,22,16,6,0
babcomi01c,2008,DET,NHL,1,,82,51,21,10,23,15,8,0
babcomi01c,2009,DET,NHL,1,,82,44,24,14,12,5,7,0
babcomi01c,2010,DET,NHL,1,,82,47,25,19,11,7,4,0
babcomi01c,2011,DET,NHL,1,,82,48,28,6,5,1,4,0
barbebi01c,2000,PHI,NHL,2,,54,31,16,7,6,2,4,0
barbebi01c,2001,PHI,NHL,1,,82,42,30,10,5,1,4,0
barkldo01c,1970,DET,NHL,2,,40,10,23,7,,,,
barkldo01c,1971,DET,NHL,1,,11,3,8,0,,,,
barkldo01c,1975,DET,NHL,1,,26,7,15,4,,,,
bassejo01c,1977,BIR,WHA,2,interim,3,0,3,0,,,,
bathgan01c,1973,VAB,WHA,3,,59,21,37,1,,,,
baunbo01c,1975,TOT,WHA,1,,55,15,35,5,,,,
beaulan01c,1977,MNS,NHL,2,,32,6,23,3,,,,
belisda01c,1978,WAS,NHL,1,,80,24,41,15,,,,
belisda01c,1979,WAS,NHL,1,,16,4,10,2,,,,
berenre01c,1979,STL,NHL,2,,56,27,20,9,3,0,3,0
berenre01c,1980,STL,NHL,1,,80,45,18,17,11,5,6,0
berenre01c,1981,STL,NHL,1,,68,28,34,6,,,,
bergemi03c,1980,QUE,NHL,2,,74,29,29,16,5,2,3,0
bergemi03c,1981,QUE,NHL,1,,80,33,31,16,16,7,9,0
bergemi03c,1982,QUE,NHL,1,,80,34,34,12,4,1,3,0
bergemi03c,1983,QUE,NHL,1,,80,42,28,10,9,5,4,0
bergemi03c,1984,QUE,NHL,1,,80,41,30,9,18,9,9,0
bergemi03c,1985,QUE,NHL,1,,80,43,31,6,3,0,3,0
bergemi03c,1986,QUE,NHL,1,,80,31,39,10,13,7,6,0
bergemi03c,1987,NYR,NHL,1,,80,36,34,10,,,,
bergemi03c,1988,NYR,NHL,1,,78,37,33,8,,,,
bergemi03c,1989,QUE,NHL,1,,80,12,61,7,,,,
berrybo01c,1978,LAK,NHL,1,,80,34,34,12,2,0,2,0
berrybo01c,1979,LAK,NHL,1,,80,30,36,14,4,1,3,0
berrybo01c,1980,LAK,NHL,1,,80,43,24,13,4,1,3,0
berrybo01c,1981,MTL,NHL,1,,80,46,17,17,5,2,3,0
berrybo01c,1982,MTL,NHL,1,,80,42,24,14,3,0,3,0
berrybo01c,1983,MTL,NHL,1,,63,28,30,5,,,,
berrybo01c,1984,PIT,NHL,1,,80,24,51,5,,,,
berrybo01c,1985,PIT,NHL,1,,80,34,38,8,,,,
berrybo01c,1986,PIT,NHL,1,,80,30,38,12,,,,
berrybo01c,1992,STL,NHL,2,,73,33,30,10,11,7,4,0
berrybo01c,1993,STL,NHL,1,,84,40,33,11,4,0,4,0
beverni01c,1995,TOR,NHL,2,,17,9,6,2,6,2,4,0
blackdo01c,1975,NEW,WHA,2,,35,14,18,3,,,,
blackdo01c,1978,NEW,WHA,2,,9,4,5,0,10,5,5,0
blackdo01c,1979,HAR,NHL,1,,80,27,34,19,3,0,3,0
blackdo01c,1980,HAR,NHL,1,,60,15,29,16,,,,
blairwr01c,1967,MNS,NHL,1,,74,27,32,15,14,7,7,0
blairwr01c,1968,MNS,NHL,1,,10,3,6,1,,,,
blairwr01c,1968,MNS,NHL,3,,31,9,14,8,,,,
blairwr01c,1969,MNS,NHL,1,,32,9,13,10,,,,
blaketo01c,1955,MTL,NHL,1,,70,45,15,10,10,8,2,0
blaketo01c,1956,MTL,NHL,1,,70,35,23,12,10,8,2,0
blaketo01c,1957,MTL,NHL,1,,70,43,17,10,10,8,2,0
blaketo01c,1958,MTL,NHL,1,,70,39,18,13,11,8,3,0
blaketo01c,1959,MTL,NHL,1,,70,40,18,12,8,8,0,0
blaketo01c,1960,MTL,NHL,1,,70,41,19,10,6,2,4,0
blaketo01c,1961,MTL,NHL,1,,70,42,14,14,6,2,4,0
blaketo01c,1962,MTL,NHL,1,,70,28,19,23,5,1,4,0
blaketo01c,1963,MTL,NHL,1,,70,36,21,13,7,3,4,0
blaketo01c,1964,MTL,NHL,1,,70,36,23,11,13,8,5,0
blaketo01c,1965,MTL,NHL,1,,70,41,21,8,10,8,2,0
blaketo01c,1966,MTL,NHL,1,,70,32,25,13,10,6,4,0
blaketo01c,1967,MTL,NHL,1,,74,42,22,10,13,12,1,0
boilema01c,1973,PIT,NHL,2,,28,14,10,4,,,,
boilema01c,1974,PIT,NHL,1,,80,37,28,15,9,5,4,0
boilema01c,1975,PIT,NHL,1,,43,15,23,5,,,,
boilema01c,1976,QUN,WHA,1,,81,47,31,3,17,12,5,0
boilema01c,1977,QUN,WHA,1,,59,27,30,2,,,,
boivile01c,1975,STL,NHL,3,,43,17,17,9,3,1,2,0
boivile01c,1977,STL,NHL,1,,54,11,36,7,,,,
boondi01c,1909,MOW,NHA,1,,12,11,1,0,,,,
boondi01c,1911,MOW,NHA,1,,18,9,9,0,,,,
boondi01c,1912,MOW,NHA,1,,20,10,10,0,,,,
boondi01c,1913,MOW,NHA,1,,15,4,11,0,,,,
boondi01c,1914,MOW,NHA,1,,20,14,6,0,,,,
boondi01c,1915,MOW,NHA,1,,24,10,14,0,,,,
boondi01c,1916,MOW,NHA,1,,20,5,15,0,,,,
bouchfr01c,1939,NYR,NHL,1,,48,27,11,10,12,8,4,0
bouchfr01c,1940,NYR,NHL,1,,48,21,19,8,3,1,2,0
bouchfr01c,1941,NYR,NHL,1,,48,29,17,2,6,2,4,0
bouchfr01c,1942,NYR,NHL,1,,50,11,31,8,,,,
bouchfr01c,1943,NYR,NHL,1,,50,6,39,5,,,,
bouchfr01c,1944,NYR,NHL,1,,50,11,29,10,,,,
bouchfr01c,1945,NYR,NHL,1,,50,13,28,9,,,,
bouchfr01c,1946,NYR,NHL,1,,60,22,32,6,,,,
bouchfr01c,1947,NYR,NHL,1,,60,21,26,13,6,2,4,0
bouchfr01c,1948,NYR,NHL,1,,23,6,11,6,,,,
bouchfr01c,1953,NYR,NHL,1,,40,14,20,6,,,,
bouchge01c,1930,MTM,NHL,2,,12,6,5,1,2,0,2,0
bouchge01c,1933,OTS,NHL,1,,48,13,29,6,,,,
bouchge01c,1934,STE,NHL,2,,35,9,20,6,,,,
bouchge01c,1949,BOS,NHL,1,,70,22,32,16,,,,
bouchgu01c,2010,TBL,NHL,1,,82,46,25,11,18,11,7,0
bouchgu01c,2011,TBL,NHL,1,,82,38,36,8,,,,
boudrbr01c,2007,WAS,NHL,2,,61,37,17,7,7,3,4,0
boudrbr01c,2008,WAS,NHL,1,,82,50,24,8,14,7,7,0
boudrbr01c,2009,WAS,NHL,1,,82,54,15,13,7,3,4,0
boudrbr01c,2010,WAS,NHL,1,,82,48,23,11,9,4,5,0
boudrbr01c,2011,WAS,NHL,1,,22,12,9,1,,,,
boudrbr01c,2011,AND,NHL,2,,58,27,23,8,,,,
bowmasc01c,1967,STL,NHL,2,,58,23,21,14,18,8,10,0
bowmasc01c,1968,STL,NHL,1,,76,37,25,14,12,8,4,0
bowmasc01c,1969,STL,NHL,1,,76,37,27,12,16,8,8,0
bowmasc01c,1970,STL,NHL,2,,28,13,10,5,6,2,4,0
bowmasc01c,1971,MTL,NHL,1,,78,46,16,16,6,2,4,0
bowmasc01c,1972,MTL,NHL,1,,78,52,10,16,17,12,5,0
bowmasc01c,1973,MTL,NHL,1,,78,45,24,9,6,2,4,0
bowmasc01c,1974,MTL,NHL,1,,80,47,14,19,11,6,5,0
bowmasc01c,1975,MTL,NHL,1,,80,58,11,11,13,12,1,0
bowmasc01c,1976,MTL,NHL,1,,80,60,8,12,14,12,2,0
bowmasc01c,1977,MTL,NHL,1,,80,59,10,11,15,12,3,0
bowmasc01c,1978,MTL,NHL,1,,80,52,17,11,16,12,4,0
bowmasc01c,1979,BUF,NHL,1,,80,47,17,16,14,9,5,0
bowmasc01c,1981,BUF,NHL,1,,26,14,5,7,,,,
bowmasc01c,1981,BUF,NHL,3,,9,4,5,0,4,1,3,0
bowmasc01c,1982,BUF,NHL,1,,80,38,29,13,10,6,4,0
bowmasc01c,1983,BUF,NHL,1,,80,48,25,7,3,0,3,0
bowmasc01c,1984,BUF,NHL,1,,80,38,28,14,5,2,3,0
bowmasc01c,1985,BUF,NHL,2,,37,18,18,1,,,,
bowmasc01c,1986,BUF,NHL,1,,12,3,7,2,,,,
bowmasc01c,1991,PIT,NHL,1,,80,39,32,9,21,16,5,0
bowmasc01c,1992,PIT,NHL,1,,84,56,21,7,12,7,5,0
bowmasc01c,1993,DET,NHL,1,,84,46,30,8,7,3,4,0
bowmasc01c,1994,DET,NHL,1,,48,33,11,4,18,12,6,0
bowmasc01c,1995,DET,NHL,1,,82,62,13,7,19,10,9,0
bowmasc01c,1996,DET,NHL,1,,82,38,26,18,20,16,4,0
bowmasc01c,1997,DET,NHL,1,,82,44,23,15,22,16,6,0
bowmasc01c,1998,DET,NHL,2,,77,39,31,7,10,6,4,0
bowmasc01c,1999,DET,NHL,1,,82,48,24,10,9,5,4,0
bowmasc01c,2000,DET,NHL,1,,82,49,24,9,6,2,4,0
bowmasc01c,2001,DET,NHL,1,,82,51,21,10,23,16,7,0
bowneri01c,1988,WIN,NHL,2,,28,8,17,3,,,,
bowneri01c,1991,BOS,NHL,1,,80,36,32,12,15,8,7,0
bowneri01c,1992,OTT,NHL,1,,84,10,70,4,,,,
bowneri01c,1993,OTT,NHL,1,,84,14,61,9,,,,
bowneri01c,1994,OTT,NHL,1,,48,9,34,5,,,,
bowneri01c,1995,OTT,NHL,1,,19,6,13,0,,,,
bowneri01c,1996,NYI,NHL,2,,37,16,18,3,,,,
bowneri01c,1997,NYI,NHL,1,,63,22,32,9,,,,
bowneri01c,2003,PHO,NHL,2,,20,2,15,3,,,,
brookhe01c,1981,NYR,NHL,1,,80,39,27,14,10,5,5,0
brookhe01c,1982,NYR,NHL,1,,80,35,35,10,9,5,4,0
brookhe01c,1983,NYR,NHL,1,,80,42,29,9,5,2,3,0
brookhe01c,1984,NYR,NHL,1,,45,15,22,8,,,,
brookhe01c,1987,MNS,NHL,1,,80,19,48,13,,,,
brookhe01c,1992,NJD,NHL,1,,84,40,37,7,5,1,4,0
brookhe01c,1999,PIT,NHL,2,,57,29,23,5,11,6,5,0
brophjo01c,1978,BIR,WHA,1,,80,32,42,6,,,,
brophjo01c,1986,TOR,NHL,1,,80,32,42,6,13,7,6,0
brophjo01c,1987,TOR,NHL,1,,80,21,49,10,6,2,4,0
brophjo01c,1988,TOR,NHL,1,,33,11,20,2,,,,
burnege01c,1994,EDM,NHL,1,,35,12,20,3,,,,
burnsch01c,1969,MNS,NHL,2,,44,10,22,12,6,2,4,0
burnsch01c,1974,MNS,NHL,2,,42,12,28,2,,,,
burnspa01c,1988,MTL,NHL,1,,80,53,18,9,21,14,7,0
burnspa01c,1989,MTL,NHL,1,,80,41,28,11,11,5,6,0
burnspa01c,1990,MTL,NHL,1,,80,39,30,11,13,7,6,0
burnspa01c,1991,MTL,NHL,1,,80,41,28,11,11,4,7,0
burnspa01c,1992,TOR,NHL,1,,84,44,29,11,21,11,10,0
burnspa01c,1993,TOR,NHL,1,,84,43,29,12,18,9,9,0
burnspa01c,1994,TOR,NHL,1,,48,21,19,8,7,3,4,0
burnspa01c,1995,TOR,NHL,1,,65,25,30,10,,,,
burnspa01c,1997,BOS,NHL,1,,82,39,30,13,6,2,4,0
burnspa01c,1998,BOS,NHL,1,,82,39,30,13,12,6,6,0
burnspa01c,1999,BOS,NHL,1,,82,24,39,19,,,,
burnspa01c,2000,BOS,NHL,1,,8,3,4,1,,,,
burnspa01c,2002,NJD,NHL,1,,82,46,26,10,24,16,8,0
burnspa01c,2003,NJD,NHL,1,,82,43,27,12,5,1,4,0
bushed01c,1975,KCS,NHL,3,,32,1,23,8,,,,
bylsmda01c,2008,PIT,NHL,2,,25,18,3,4,24,16,8,0
bylsmda01c,2009,PIT,NHL,1,,82,47,28,7,13,7,6,0
bylsmda01c,2010,PIT,NHL,1,,82,49,25,8,7,3,4,0
bylsmda01c,2011,PIT,NHL,1,,82,51,25,6,6,2,4,0
campbco01c,1994,NYR,NHL,1,,48,22,23,3,10,4,6,0
campbco01c,1995,NYR,NHL,1,,82,41,27,14,11,5,6,0
campbco01c,1996,NYR,NHL,1,,82,38,34,10,15,9,6,0
campbco01c,1997,NYR,NHL,1,,57,17,24,16,,,,
capuaja01c,2010,NYI,NHL,2,,65,26,29,10,,,,
capuaja01c,2011,NYI,NHL,1,,82,34,37,11,,,,
carbogu01c,2006,MTL,NHL,1,,82,42,34,6,,,,
carbogu01c,2007,MTL,NHL,1,,82,47,25,10,12,5,7,0
carbogu01c,2008,MTL,NHL,1,,66,35,24,7,,,,
carlyra01c,2005,ANA,NHL,1,,82,43,27,12,16,9,7,0
carlyra01c,2006,AND,NHL,1,,82,48,20,14,21,16,5,0
carlyra01c,2007,AND,NHL,1,,82,47,27,8,6,2,4,0
carlyra01c,2008,AND,NHL,1,,82,42,33,7,13,7,6,0
carlyra01c,2009,AND,NHL,1,,82,39,32,11,,,,
carlyra01c,2010,AND,NHL,1,,82,47,30,5,6,2,4,0
carlyra01c,2011,AND,NHL,1,,24,7,13,4,,,,
carlyra01c,2011,TOR,NHL,2,,18,6,9,3,,,,
carpedo01c,1984,NJD,NHL,1,,80,22,48,10,,,,
carpedo01c,1985,NJD,NHL,1,,80,28,49,3,,,,
carpedo01c,1986,NJD,NHL,1,,80,29,45,6,,,,
carpedo01c,1987,NJD,NHL,1,,50,21,24,5,,,,
carpedo01c,1989,TOR,NHL,1,,80,38,38,4,5,1,4,0
carpedo01c,1990,TOR,NHL,1,,11,1,9,1,,,,
carrodi01c,1917,TOA,NHL,1,,22,13,9,0,7,4,3,0
carrodi01c,1918,TOA,NHL,1,,18,5,13,0,,,,
carrofr01c,1920,TRS,NHL,1,,24,15,9,0,2,0,2,0
cashmwa01c,1997,PHI,NHL,1,,61,32,20,9,,,,
cassibr01c,2002,WAS,NHL,1,,82,39,35,8,6,2,4,0
cassibr01c,2003,WAS,NHL,1,,28,8,19,1,,,,
chambda01c,1990,QUE,NHL,1,,80,16,50,14,,,,
chambda01c,1991,QUE,NHL,1,,18,3,14,1,,,,
champwe01c,1921,REG,WCHL,1,,24,14,10,0,6,3,1,2
champwe01c,1922,REG,WCHL,1,,30,16,14,0,2,0,1,1
champwe01c,1923,REG,WCHL,1,,30,17,11,2,2,0,1,1
champwe01c,1924,REG,WCHL,1,,28,8,20,0,,,,
charrgu01c,1991,CAL,NHL,2,,16,6,7,3,,,,
charrgu01c,2000,ANA,NHL,2,,49,14,28,7,,,,
cheevge01c,1980,BOS,NHL,1,,80,37,30,13,3,0,3,0
cheevge01c,1981,BOS,NHL,1,,80,43,27,10,11,6,5,0
cheevge01c,1982,BOS,NHL,1,,80,50,20,10,17,9,8,0
cheevge01c,1983,BOS,NHL,1,,80,49,25,6,3,0,3,0
cheevge01c,1984,BOS,NHL,1,,56,25,24,7,,,,
cherrdo01c,1974,BOS,NHL,1,,80,40,26,14,3,1,2,0
cherrdo01c,1975,BOS,NHL,1,,80,48,15,17,12,5,7,0
cherrdo01c,1976,BOS,NHL,1,,80,49,23,8,14,8,6,0
cherrdo01c,1977,BOS,NHL,1,,80,51,18,11,15,10,5,0
cherrdo01c,1978,BOS,NHL,1,,80,43,23,14,11,7,4,0
cherrdo01c,1979,COR,NHL,1,,80,19,48,13,,,,
clancki01c,1937,MTM,NHL,1,,18,6,11,1,,,,
clancki01c,1953,TOR,NHL,1,,70,32,24,14,5,1,4,0
clancki01c,1954,TOR,NHL,1,,70,24,24,22,4,0,4,0
clancki01c,1955,TOR,NHL,1,,70,24,33,13,5,1,4,0
clappdi01c,1945,BOS,NHL,1,,50,24,18,8,10,5,5,0
clappdi01c,1946,BOS,NHL,1,,60,26,23,11,5,1,4,0
clappdi01c,1947,BOS,NHL,1,,60,23,24,13,5,1,4,0
clappdi01c,1948,BOS,NHL,1,,60,29,23,8,5,1,4,0
cleghod01c,1925,PIP,NHL,1,,36,19,16,1,2,0,1,1
cleghod01c,1926,PIP,NHL,1,,44,15,26,3,,,,
cleghod01c,1927,PIP,NHL,1,,44,19,17,8,2,1,1,0
cleghod01c,1928,PIP,NHL,1,,44,9,27,8,,,,
cleghsp01c,1931,MTM,NHL,1,,48,19,22,7,4,1,1,2
clousco01c,2008,OTT,NHL,2,,34,19,11,4,,,,
clousco01c,2009,OTT,NHL,1,,82,44,32,6,6,2,4,0
clousco01c,2010,OTT,NHL,1,,82,32,40,10,,,,
colvine01c,1950,NYR,NHL,1,,70,20,29,21,,,,
colvine01c,1951,NYR,NHL,1,,23,6,12,5,,,,
conacch01c,1947,CHI,NHL,2,,32,13,15,4,,,,
conacch01c,1948,CHI,NHL,1,,60,21,31,8,,,,
conacch01c,1949,CHI,NHL,1,,70,22,38,10,,,,
conacli01c,1929,NYA,NHL,1,,44,14,25,5,,,,
constke01c,1993,SJS,NHL,1,,84,33,35,16,14,7,7,0
constke01c,1994,SJS,NHL,1,,48,19,25,4,11,4,7,0
constke01c,1995,SJS,NHL,1,,25,3,18,4,,,,
constke01c,1997,PIT,NHL,1,,82,40,24,18,6,2,4,0
constke01c,1998,PIT,NHL,1,,82,38,30,14,13,6,7,0
constke01c,1999,PIT,NHL,1,,25,8,14,3,,,,
constke01c,2001,NJD,NHL,2,,31,20,9,2,6,2,4,0
cookbi01c,1951,NYR,NHL,2,,47,17,22,8,,,,
cookbi01c,1952,NYR,NHL,1,,70,17,37,16,,,,
crawfma01c,1994,QUE,NHL,1,,48,30,13,5,6,2,4,0
crawfma01c,1995,COL,NHL,1,,82,47,25,10,22,16,6,0
crawfma01c,1996,COL,NHL,1,,82,49,24,9,17,10,7,0
crawfma01c,1997,COL,NHL,1,,82,39,26,17,7,3,4,0
crawfma01c,1998,VAN,NHL,2,,37,8,23,6,,,,
crawfma01c,1999,VAN,NHL,1,,82,30,37,15,,,,
crawfma01c,2000,VAN,NHL,1,,82,36,35,11,4,0,4,0
crawfma01c,2001,VAN,NHL,1,,82,42,33,7,6,2,4,0
crawfma01c,2002,VAN,NHL,1,,82,45,24,13,14,7,7,0
crawfma01c,2003,VAN,NHL,1,,82,43,29,10,7,3,4,0
crawfma01c,2005,VAN,NHL,1,,82,42,32,8,,,,
crawfma01c,2006,LAK,NHL,1,,82,27,41,14,,,,
crawfma01c,2007,LAK,NHL,1,,82,32,43,7,,,,
crawfma01c,2009,DAL,NHL,1,,82,37,31,14,,,,
crawfma01c,2010,DAL,NHL,1,,82,42,29,11,,,,
creampi01c,1987,PIT,NHL,1,,80,36,35,9,,,,
creigfr01c,1974,ATF,NHL,2,,28,12,11,5,,,,
creigfr01c,1975,ATF,NHL,1,,80,35,33,12,2,0,2,0
creigfr01c,1976,ATF,NHL,1,,80,34,34,12,3,1,2,0
creigfr01c,1977,ATF,NHL,1,,80,34,27,19,2,0,2,0
creigfr01c,1978,ATF,NHL,1,,80,41,31,8,2,0,2,0
creigfr01c,1979,BOS,NHL,1,,73,40,20,13,,,,
crispte01c,1987,CAL,NHL,1,,80,48,23,9,9,4,5,0
crispte01c,1988,CAL,NHL,1,,80,54,17,9,22,16,6,0
crispte01c,1989,CAL,NHL,1,,80,42,23,15,6,2,4,0
crispte01c,1992,TBL,NHL,1,,84,23,54,7,,,,
crispte01c,1993,TBL,NHL,1,,84,30,43,11,,,,
crispte01c,1994,TBL,NHL,1,,48,17,28,3,,,,
crispte01c,1995,TBL,NHL,1,,82,38,32,12,6,2,4,0
crispte01c,1996,TBL,NHL,1,,82,32,40,10,,,,
crispte01c,1997,TBL,NHL,1,,11,2,7,2,,,,
crozijo01c,1971,BUF,NHL,3,,36,8,19,9,,,,
crozijo01c,1972,BUF,NHL,1,,78,37,27,14,6,2,4,0
crozijo01c,1973,BUF,NHL,1,,78,32,34,12,,,,
crozijo01c,1974,VAB,WHA,1,,78,37,39,2,,,,
crozijo01c,1975,CAC,WHA,1,,80,41,35,4,10,5,5,0
crozijo01c,1976,CAC,WHA,1,,81,31,43,7,,,,
crozijo01c,1980,TOR,NHL,1,,40,13,22,5,,,,
croziro01c,1981,WAS,NHL,2,,1,0,1,0,,,,
cunnera01c,2011,MTL,NHL,2,,50,18,23,9,,,,
cunnijo01c,1982,HAR,NHL,3,,13,3,9,1,,,,
cunnijo01c,1989,NJD,NHL,2,,66,31,28,7,6,2,4,0
cunnijo01c,1990,NJD,NHL,1,,67,28,28,11,,,,
curryal01c,1925,OTS,NHL,1,,36,24,8,4,2,0,1,1
dandule01c,1921,MTL,NHL,2,,17,10,6,1,,,,
dandule01c,1922,MTL,NHL,1,,24,13,9,2,2,1,1,0
dandule01c,1923,MTL,NHL,1,,24,13,11,0,6,6,0,0
dandule01c,1924,MTL,NHL,1,,30,17,11,2,6,3,3,0
dandule01c,1925,MTL,NHL,1,,36,11,24,1,,,,
dandule01c,1934,MTL,NHL,2,,32,14,15,3,2,0,2,0
dayha01c,1940,TOR,NHL,1,,48,28,14,6,7,3,4,0
dayha01c,1941,TOR,NHL,1,,48,27,18,3,13,8,5,0
dayha01c,1942,TOR,NHL,1,,50,22,19,9,6,2,4,0
dayha01c,1943,TOR,NHL,1,,50,23,23,4,5,1,4,0
dayha01c,1944,TOR,NHL,1,,50,24,22,4,13,8,5,0
dayha01c,1945,TOR,NHL,1,,50,19,24,7,,,,
dayha01c,1946,TOR,NHL,1,,60,31,19,10,11,8,3,0
dayha01c,1947,TOR,NHL,1,,60,32,15,13,9,8,1,0
dayha01c,1948,TOR,NHL,1,,60,22,25,13,9,8,1,0
dayha01c,1949,TOR,NHL,1,,70,31,27,12,7,3,4,0
deabi01c,1981,DET,NHL,2,,11,3,8,0,,,,
deboepe01c,2008,FLO,NHL,1,,82,41,30,11,,,,
deboepe01c,2009,FLO,NHL,1,,82,32,37,13,,,,
deboepe01c,2010,FLO,NHL,1,,82,30,40,12,,,,
deboepe01c,2011,NJD,NHL,1,,82,48,28,6,24,14,10,0
delveal01c,1973,DET,NHL,2,,67,27,31,9,,,,
delveal01c,1974,DET,NHL,1,,80,23,45,12,,,,
delveal01c,1975,DET,NHL,2,,54,19,29,6,,,,
delveal01c,1976,DET,NHL,1,,44,13,26,5,,,,
demerja01c,1975,IND,WHA,2,,75,34,35,6,7,3,4,0
demerja01c,1976,IND,WHA,1,,81,36,37,8,9,5,4,0
