year,lgID,tmID,oppID,W,L,T,OTL
1915,NHA,OT1,TBS,3,3,0,
1915,NHA,QU1,MOC,1,4,1,
1915,NHA,QU1,MOW,5,1,0,
1915,NHA,QU1,OT1,1,5,0,
1915,NHA,QU1,TBS,3,2,1,
1915,NHA,TBS,MOC,1,5,0,
1915,NHA,TBS,MOW,3,3,0,
1915,NHA,TBS,OT1,3,3,0,
1915,NHA,TBS,QU1,2,3,1,
1915,PCHA,PO1,SEA,4,2,0,
1915,PCHA,PO1,VA1,5,1,0,
1915,PCHA,PO1,VML,4,2,0,
1915,PCHA,SEA,PO1,2,4,0,
1915,PCHA,SEA,VA1,5,1,0,
1915,PCHA,SEA,VML,2,4,0,
1915,PCHA,VA1,PO1,1,5,0,
1915,PCHA,VA1,SEA,1,5,0,
1915,PCHA,VA1,VML,3,3,0,
1915,PCHA,VML,PO1,2,4,0,
1915,PCHA,VML,SEA,4,2,0,
1915,PCHA,VML,VA1,3,3,0,
1916,NHA,MOC,MOW,4,1,0,
1916,NHA,MOC,OT1,0,5,0,
1916,NHA,MOC,QU1,3,2,0,
1916,NHA,MOC,TBS,1,2,0,
1916,NHA,MOC,TOB,2,0,0,
1916,NHA,MOW,MOC,1,4,0,
1916,NHA,MOW,OT1,0,5,0,
1916,NHA,MOW,QU1,1,4,0,
1916,NHA,MOW,TBS,1,1,0,
1916,NHA,MOW,TOB,2,1,0,
1916,NHA,OT1,MOC,5,0,0,
1916,NHA,OT1,MOW,5,0,0,
1916,NHA,OT1,QU1,2,2,0,
1916,NHA,OT1,TBS,2,1,0,
1916,NHA,OT1,TOB,1,2,0,
1916,NHA,QU1,MOC,2,3,0,
1916,NHA,QU1,MOW,4,1,0,
1916,NHA,QU1,OT1,2,2,0,
1916,NHA,QU1,TBS,1,2,0,
1916,NHA,QU1,TOB,1,2,0,
1916,NHA,TBS,MOC,2,1,0,
1916,NHA,TBS,MOW,1,1,0,
1916,NHA,TBS,OT1,1,2,0,
1916,NHA,TBS,QU1,2,1,0,
1916,NHA,TBS,TOB,1,2,0,
1916,NHA,TOB,MOC,0,2,0,
1916,NHA,TOB,MOW,1,2,0,
1916,NHA,TOB,OT1,2,1,0,
1916,NHA,TOB,QU1,2,1,0,
1916,NHA,TOB,TBS,2,1,0,
1916,PCHA,PO1,SEA,3,5,0,
1916,PCHA,PO1,SPO,2,6,0,
1916,PCHA,PO1,VML,4,4,0,
1916,PCHA,SEA,PO1,5,3,0,
1916,PCHA,SEA,SPO,7,1,0,
1916,PCHA,SEA,VML,4,4,0,
1916,PCHA,SPO,PO1,6,2,0,
1916,PCHA,SPO,SEA,1,7,0,
1916,PCHA,SPO,VML,1,6,0,
1916,PCHA,VML,PO1,4,4,0,
1916,PCHA,VML,SEA,4,4,0,
1916,PCHA,VML,SPO,6,1,0,
1917,NHL,MTL,MTW,2,0,0,
1917,NHL,MTL,OTS,6,4,0,
1917,NHL,MTL,TOA,5,5,0,
1917,NHL,MTW,MTL,0,2,0,
1917,NHL,MTW,OTS,0,2,0,
1917,NHL,MTW,TOA,1,1,0,
1917,NHL,OTS,MTL,4,6,0,
1917,NHL,OTS,MTW,2,0,0,
1917,NHL,OTS,TOA,3,7,0,
1917,NHL,TOA,MTL,5,5,0,
1917,NHL,TOA,MTW,1,1,0,
1917,NHL,TOA,OTS,7,3,0,
1917,PCHA,PO1,SEA,4,5,0,
1917,PCHA,PO1,VML,3,6,0,
1917,PCHA,SEA,PO1,5,4,0,
1917,PCHA,SEA,VML,6,3,0,
1917,PCHA,VML,PO1,6,3,0,
1917,PCHA,VML,SEA,3,6,0,
1918,NHL,MTL,OTS,4,5,0,
1918,NHL,MTL,TOA,6,3,0,
1918,NHL,OTS,MTL,5,4,0,
1918,NHL,OTS,TOA,7,2,0,
1918,NHL,TOA,MTL,3,6,0,
1918,NHL,TOA,OTS,2,7,0,
1918,PCHA,SEA,VA2,6,4,0,
1918,PCHA,SEA,VML,5,5,0,
1918,PCHA,VA2,SEA,4,6,0,
1918,PCHA,VA2,VML,3,7,0,
1918,PCHA,VML,SEA,5,5,0,
1918,PCHA,VML,VA2,7,3,0,
1919,NHL,MTL,OTS,1,7,0,
1919,NHL,MTL,QUB,7,1,0,
1919,NHL,MTL,TRS,5,3,0,
1919,NHL,OTS,MTL,7,1,0,
1919,NHL,OTS,QUB,7,1,0,
1919,NHL,OTS,TRS,5,3,0,
1919,NHL,QUB,MTL,1,7,0,
1919,NHL,QUB,OTS,1,7,0,
1919,NHL,QUB,TRS,2,6,0,
1919,NHL,TRS,MTL,3,5,0,
1919,NHL,TRS,OTS,3,5,0,
1919,NHL,TRS,QUB,6,2,0,
1919,PCHA,SEA,VA2,7,4,0,
1919,PCHA,SEA,VML,5,6,0,
1919,PCHA,VA2,SEA,4,7,0,
1919,PCHA,VA2,VML,6,5,0,
1919,PCHA,VML,SEA,6,5,0,
1919,PCHA,VML,VA2,5,6,0,
1920,NHL,HAM,MTL,3,5,0,
1920,NHL,HAM,OTS,1,7,0,
1920,NHL,HAM,TRS,2,6,0,
1920,NHL,MTL,HAM,5,3,0,
1920,NHL,MTL,OTS,5,3,0,
1920,NHL,MTL,TRS,3,5,0,
1920,NHL,OTS,HAM,7,1,0,
1920,NHL,OTS,MTL,3,5,0,
1920,NHL,OTS,TRS,4,4,0,
1920,NHL,TRS,HAM,6,2,0,
1920,NHL,TRS,MTL,5,3,0,
1920,NHL,TRS,OTS,4,4,0,
1920,PCHA,SEA,VA2,4,7,1,
1920,PCHA,SEA,VML,8,4,0,
1920,PCHA,VA2,SEA,7,4,1,
1920,PCHA,VA2,VML,3,9,0,
1920,PCHA,VML,SEA,4,8,0,
1920,PCHA,VML,VA2,9,3,0,
1921,NHL,HAM,MTL,1,7,0,
1921,NHL,HAM,OTS,3,5,0,
1921,NHL,HAM,TRS,3,5,0,
1921,NHL,MTL,HAM,7,1,0,
1921,NHL,MTL,OTS,1,6,1,
1921,NHL,MTL,TRS,4,4,0,
1921,NHL,OTS,HAM,5,3,0,
1921,NHL,OTS,MTL,6,1,1,
1921,NHL,OTS,TRS,3,4,1,
1921,NHL,TRS,HAM,5,3,0,
1921,NHL,TRS,MTL,4,4,0,
1921,NHL,TRS,OTS,4,3,1,
1921,PCHA,SEA,VA2,6,5,1,
1921,PCHA,SEA,VML,6,6,0,
1921,PCHA,VA2,SEA,5,6,1,
1921,PCHA,VA2,VML,6,6,0,
1921,PCHA,VML,SEA,6,6,0,
1921,PCHA,VML,VA2,6,6,0,
1921,WCHL,CAT,EDE,5,3,0,
1921,WCHL,CAT,REG,3,5,0,
1921,WCHL,CAT,SMJ,6,2,0,
1921,WCHL,EDE,CAT,3,5,0,
1921,WCHL,EDE,REG,4,4,1,
1921,WCHL,EDE,SMJ,8,0,0,
1921,WCHL,REG,CAT,5,3,0,
1921,WCHL,REG,EDE,4,4,1,
1921,WCHL,REG,SMJ,5,3,0,
1921,WCHL,SMJ,CAT,2,6,0,
1921,WCHL,SMJ,EDE,0,8,0,
1921,WCHL,SMJ,REG,3,5,0,
1922,NHL,HAM,MTL,2,6,0,
1922,NHL,HAM,OTS,2,6,0,
1922,NHL,HAM,TRS,2,6,0,
1922,NHL,MTL,HAM,6,2,0,
1922,NHL,MTL,OTS,3,4,1,
1922,NHL,MTL,TRS,4,3,1,
1922,NHL,OTS,HAM,6,2,0,
1922,NHL,OTS,MTL,4,3,1,
1922,NHL,OTS,TRS,4,4,0,
1922,NHL,TRS,HAM,6,2,0,
1922,NHL,TRS,MTL,3,4,1,
1922,NHL,TRS,OTS,4,4,0,
1922,PCHA,SEA,CAT,2,0,0,
1922,PCHA,SEA,EDE,1,1,0,
1922,PCHA,SEA,REG,0,2,0,
1922,PCHA,SEA,SAC,2,0,0,
1922,PCHA,SEA,VAM,4,7,0,
1922,PCHA,SEA,VC1,6,5,0,
1922,PCHA,VAM,CAT,1,1,0,
1922,PCHA,VAM,EDE,1,1,0,
1922,PCHA,VAM,REG,1,1,0,
1922,PCHA,VAM,SAC,1,0,1,
1922,PCHA,VAM,SEA,7,4,0,
1922,PCHA,VAM,VC1,6,5,0,
1922,PCHA,VC1,CAT,1,1,0,
1922,PCHA,VC1,EDE,2,0,0,
1922,PCHA,VC1,REG,1,1,0,
1922,PCHA,VC1,SAC,2,0,0,
1922,PCHA,VC1,SEA,5,6,0,
1922,PCHA,VC1,VAM,5,6,0,
1922,WCHL,CAT,EDE,2,6,0,
1922,WCHL,CAT,REG,3,5,0,
1922,WCHL,CAT,SAC,5,3,0,
1922,WCHL,CAT,SEA,0,2,0,
1922,WCHL,CAT,VAM,1,1,0,
1922,WCHL,CAT,VC1,1,1,0,
1922,WCHL,EDE,CAT,6,2,0,
1922,WCHL,EDE,REG,6,2,0,
1922,WCHL,EDE,SAC,5,2,1,
1922,WCHL,EDE,SEA,1,1,0,
1922,WCHL,EDE,VAM,1,1,0,
1922,WCHL,EDE,VC1,0,2,0,
1922,WCHL,REG,CAT,5,3,0,
1922,WCHL,REG,EDE,2,6,0,
1922,WCHL,REG,SAC,5,3,0,
1922,WCHL,REG,SEA,2,0,0,
1922,WCHL,REG,VAM,1,1,0,
1922,WCHL,REG,VC1,1,1,0,
1922,WCHL,SAC,CAT,3,5,0,
1922,WCHL,SAC,EDE,2,5,1,
1922,WCHL,SAC,REG,3,5,0,
1922,WCHL,SAC,SEA,0,2,0,
1922,WCHL,SAC,VAM,0,1,1,
1922,WCHL,SAC,VC1,0,2,0,
1923,NHL,HAM,MTL,2,6,0,
1923,NHL,HAM,OTS,3,5,0,
1923,NHL,HAM,TRS,4,4,0,
1923,NHL,MTL,HAM,6,2,0,
1923,NHL,MTL,OTS,3,5,0,
1923,NHL,MTL,TRS,4,4,0,
1923,NHL,OTS,HAM,5,3,0,
1923,NHL,OTS,MTL,5,3,0,
1923,NHL,OTS,TRS,6,2,0,
1923,NHL,TRS,HAM,4,4,0,
1923,NHL,TRS,MTL,4,4,0,
1923,NHL,TRS,OTS,2,6,0,
1923,PCHA,SEA,CAT,1,3,0,
1923,PCHA,SEA,EDE,2,2,0,
1923,PCHA,SEA,REG,1,3,0,
1923,PCHA,SEA,SAC,1,3,0,
1923,PCHA,SEA,VAM,5,2,0,
1923,PCHA,SEA,VC1,4,3,0,
1923,PCHA,VAM,CAT,2,2,0,
1923,PCHA,VAM,EDE,3,1,0,
1923,PCHA,VAM,REG,2,2,0,
1923,PCHA,VAM,SAC,1,2,1,
1923,PCHA,VAM,SEA,2,5,0,
1923,PCHA,VAM,VC1,3,4,0,
1923,PCHA,VC1,CAT,0,4,0,
1923,PCHA,VC1,EDE,2,1,1,
1923,PCHA,VC1,REG,0,4,0,
1923,PCHA,VC1,SAC,2,2,0,
1923,PCHA,VC1,SEA,3,4,0,
1923,PCHA,VC1,VAM,4,3,0,
1923,WCHL,CAT,EDE,3,3,0,
1923,WCHL,CAT,REG,3,2,1,
1923,WCHL,CAT,SAC,3,3,0,
1923,WCHL,CAT,SEA,3,1,0,
1923,WCHL,CAT,VAM,2,2,0,
1923,WCHL,CAT,VC1,4,0,0,
1923,WCHL,EDE,CAT,3,3,0,
1923,WCHL,EDE,REG,2,3,1,
1923,WCHL,EDE,SAC,2,2,2,
1923,WCHL,EDE,SEA,2,2,0,
1923,WCHL,EDE,VAM,1,3,0,
1923,WCHL,EDE,VC1,1,2,1,
1923,WCHL,REG,CAT,2,3,1,
1923,WCHL,REG,EDE,3,2,1,
1923,WCHL,REG,SAC,3,3,0,
1923,WCHL,REG,SEA,3,1,0,
1923,WCHL,REG,VAM,2,2,0,
1923,WCHL,REG,VC1,4,0,0,
1923,WCHL,SAC,CAT,3,3,0,
1923,WCHL,SAC,EDE,2,2,2,
1923,WCHL,SAC,REG,3,3,0,
1923,WCHL,SAC,SEA,3,1,0,
1923,WCHL,SAC,VAM,2,1,1,
1923,WCHL,SAC,VC1,2,2,0,
1924,NHL,BOS,HAM,1,5,0,
1924,NHL,BOS,MTL,2,4,0,
1924,NHL,BOS,MTM,3,3,0,
1924,NHL,BOS,OTS,0,6,0,
1924,NHL,BOS,TRS,0,6,0,
1924,NHL,HAM,BOS,5,1,0,
1924,NHL,HAM,MTL,3,3,0,
1924,NHL,HAM,MTM,4,2,0,
1924,NHL,HAM,OTS,3,2,1,
1924,NHL,HAM,TRS,4,2,0,
1924,NHL,MTL,BOS,4,2,0,
1924,NHL,MTL,HAM,3,3,0,
1924,NHL,MTL,MTM,4,0,2,
1924,NHL,MTL,OTS,3,3,0,
1924,NHL,MTL,TRS,3,3,0,
1924,NHL,MTM,BOS,3,3,0,
1924,NHL,MTM,HAM,2,4,0,
1924,NHL,MTM,MTL,0,4,2,
1924,NHL,MTM,OTS,2,4,0,
1924,NHL,MTM,TRS,2,4,0,
1924,NHL,OTS,BOS,6,0,0,
1924,NHL,OTS,HAM,2,3,1,
1924,NHL,OTS,MTL,3,3,0,
1924,NHL,OTS,MTM,4,2,0,
1924,NHL,OTS,TRS,2,4,0,
1924,NHL,TRS,BOS,6,0,0,
1924,NHL,TRS,HAM,2,4,0,
1924,NHL,TRS,MTL,3,3,0,
1924,NHL,TRS,MTM,4,2,0,
1924,NHL,TRS,OTS,4,2,0,
1924,WCHL,CAT,EDE,5,3,0,
1924,WCHL,CAT,REG,3,2,0,
1924,WCHL,CAT,SAS,3,2,0,
1924,WCHL,CAT,VIC,3,2,0,
1924,WCHL,CAT,VMR,3,2,0,
1924,WCHL,EDE,CAT,3,5,0,
1924,WCHL,EDE,REG,3,2,0,
1924,WCHL,EDE,SAS,2,2,1,
1924,WCHL,EDE,VIC,3,2,0,
1924,WCHL,EDE,VMR,3,2,0,
1924,WCHL,REG,CAT,2,3,0,
1924,WCHL,REG,EDE,2,3,0,
1924,WCHL,REG,SAS,2,6,0,
1924,WCHL,REG,VIC,1,4,0,
1924,WCHL,REG,VMR,1,4,0,
1924,WCHL,SAS,CAT,2,3,0,
1924,WCHL,SAS,EDE,2,2,1,
1924,WCHL,SAS,REG,6,2,0,
1924,WCHL,SAS,VIC,3,2,0,
1924,WCHL,SAS,VMR,3,2,0,
1924,WCHL,VIC,CAT,2,3,0,
1924,WCHL,VIC,EDE,2,3,0,
1924,WCHL,VIC,REG,4,1,0,
1924,WCHL,VIC,SAS,2,3,0,
1924,WCHL,VIC,VMR,6,2,0,
1924,WCHL,VMR,CAT,2,3,0,
1924,WCHL,VMR,EDE,2,3,0,
1924,WCHL,VMR,REG,4,1,0,
1924,WCHL,VMR,SAS,2,3,0,
1924,WCHL,VMR,VIC,2,6,0,
1925,NHL,BOS,MTL,2,3,1,
1925,NHL,BOS,MTM,4,1,1,
1925,NHL,BOS,NYA,2,2,2,
1925,NHL,BOS,OTS,2,4,0,
1925,NHL,BOS,PIP,2,4,0,
1925,NHL,BOS,TRS,5,1,0,
1925,NHL,MTL,BOS,3,2,1,
1925,NHL,MTL,MTM,1,5,0,
1925,NHL,MTL,NYA,2,4,0,
1925,NHL,MTL,OTS,0,6,0,
1925,NHL,MTL,PIP,2,4,0,
1925,NHL,MTL,TRS,3,3,0,
1925,NHL,MTM,BOS,1,4,1,
1925,NHL,MTM,MTL,5,1,0,
1925,NHL,MTM,NYA,4,1,1,
1925,NHL,MTM,OTS,1,2,3,
1925,NHL,MTM,PIP,3,3,0,
1925,NHL,MTM,TRS,6,0,0,
1925,NHL,NYA,BOS,2,2,2,
1925,NHL,NYA,MTL,4,2,0,
1925,NHL,NYA,MTM,1,4,1,
1925,NHL,NYA,OTS,1,5,0,
1925,NHL,NYA,PIP,3,3,0,
1925,NHL,NYA,TRS,1,4,1,
1925,NHL,OTS,BOS,4,2,0,
1925,NHL,OTS,MTL,6,0,0,
1925,NHL,OTS,MTM,2,1,3,
1925,NHL,OTS,NYA,5,1,0,
1925,NHL,OTS,PIP,4,2,0,
1925,NHL,OTS,TRS,3,2,1,
1925,NHL,PIP,BOS,4,2,0,
1925,NHL,PIP,MTL,4,2,0,
1925,NHL,PIP,MTM,3,3,0,
1925,NHL,PIP,NYA,3,3,0,
1925,NHL,PIP,OTS,2,4,0,
1925,NHL,PIP,TRS,3,2,1,
1925,NHL,TRS,BOS,1,5,0,
1925,NHL,TRS,MTL,3,3,0,
1925,NHL,TRS,MTM,0,6,0,
1925,NHL,TRS,NYA,4,1,1,
1925,NHL,TRS,OTS,2,3,1,
1925,NHL,TRS,PIP,2,3,1,
1925,WCHL,CAT,EDE,2,6,0,
1925,WCHL,CAT,POR,1,3,1,
1925,WCHL,CAT,SAS,4,4,0,
1925,WCHL,CAT,VIC,1,2,2,
1925,WCHL,CAT,VMR,2,2,0,
1925,WCHL,EDE,CAT,6,2,0,
1925,WCHL,EDE,POR,4,0,0,
1925,WCHL,EDE,SAS,3,5,0,
1925,WCHL,EDE,VIC,2,3,0,
1925,WCHL,EDE,VMR,4,1,0,
1925,WCHL,POR,CAT,3,1,1,
1925,WCHL,POR,EDE,0,4,0,
1925,WCHL,POR,SAS,1,4,0,
1925,WCHL,POR,VIC,3,5,0,
1925,WCHL,POR,VMR,5,2,1,
1925,WCHL,SAS,CAT,4,4,0,
1925,WCHL,SAS,EDE,5,3,0,
1925,WCHL,SAS,POR,4,1,0,
1925,WCHL,SAS,VIC,2,1,1,
1925,WCHL,SAS,VMR,3,2,0,
1925,WCHL,VIC,CAT,2,1,2,
1925,WCHL,VIC,EDE,3,2,0,
1925,WCHL,VIC,POR,5,3,0,
1925,WCHL,VIC,SAS,1,2,1,
1925,WCHL,VIC,VMR,4,3,1,
1925,WCHL,VMR,CAT,2,2,0,
1925,WCHL,VMR,EDE,1,4,0,
1925,WCHL,VMR,POR,2,5,1,
1925,WCHL,VMR,SAS,2,3,0,
1925,WCHL,VMR,VIC,3,4,1,
1926,NHL,BOS,CHI,3,2,1,
1926,NHL,BOS,DTC,5,1,0,
1926,NHL,BOS,MTL,1,2,1,
1926,NHL,BOS,MTM,2,2,0,
1926,NHL,BOS,NYA,2,2,0,
1926,NHL,BOS,NYR,2,3,1,
1926,NHL,BOS,OTS,1,3,0,
1926,NHL,BOS,PIP,4,2,0,
1926,NHL,BOS,TRS,1,3,0,
1926,NHL,CHI,BOS,2,3,1,
1926,NHL,CHI,DTC,3,2,1,
1926,NHL,CHI,MTL,2,2,0,
1926,NHL,CHI,MTM,2,2,0,
1926,NHL,CHI,NYA,2,1,1,
1926,NHL,CHI,NYR,2,4,0,
1926,NHL,CHI,OTS,2,2,0,
1926,NHL,CHI,PIP,2,4,0,
1926,NHL,CHI,TRS,2,2,0,
1926,NHL,DTC,BOS,1,5,0,
1926,NHL,DTC,CHI,2,3,1,
1926,NHL,DTC,MTL,0,4,0,
1926,NHL,DTC,MTM,1,3,0,
1926,NHL,DTC,NYA,3,1,0,
1926,NHL,DTC,NYR,1,3,2,
1926,NHL,DTC,OTS,1,3,0,
1926,NHL,DTC,PIP,2,4,0,
1926,NHL,DTC,TRS,1,2,1,
1926,NHL,MTL,BOS,2,1,1,
1926,NHL,MTL,CHI,2,2,0,
1926,NHL,MTL,DTC,4,0,0,
1926,NHL,MTL,MTM,5,1,0,
