,ChurnProbability,y_train,ChurnPredicted
6271,0.40712263148714056,0,0
1208,0.6584971442800917,1,1
6937,0.19803777758912736,0,0
6449,0.22019854465617894,0,0
5834,0.28057566517723337,0,0
3873,-0.017888375963544964,0,0
512,0.7027617709003607,1,1
4552,0.24052276857828003,0,0
6025,0.23217540944914403,0,0
3917,0.6524881906932053,1,1
4906,0.19181814382915158,0,0
4824,0.23263734306272765,0,0
932,-0.18517588007535968,0,0
2945,0.4580640502806965,0,0
4767,0.1274182192728915,0,0
6951,-0.020567910312421445,0,0
6689,0.10119253775637038,0,0
3240,0.1831377665575375,1,0
1094,0.19224888601137546,0,0
5894,0.40174116170144064,1,0
5793,0.39069380760451444,0,0
225,0.15724413964868109,0,0
5783,0.7407784851072211,1,1
6194,0.10582091342369415,0,0
5432,0.40436063264915495,1,0
618,0.20328553814231,0,0
4822,0.036234222454374986,0,0
4936,0.39202679495359843,0,0
6535,0.3705564665476328,1,0
1626,0.2228678174855299,0,0
5665,0.3132279088883878,0,0
4627,0.06738299159945454,0,0
904,-0.036019889894411704,0,0
5819,0.07334412286028824,0,0
4605,-0.05477333138259568,0,0
3129,0.21444434183000283,0,0
5738,0.22019854465617894,1,0
6229,0.004121988885662703,0,0
1498,0.6060426207754243,1,1
4101,0.3890849175313208,0,0
5540,0.22019854465617894,1,0
4763,0.36083078125193035,0,0
283,-0.023772928245434533,0,0
6796,0.32089338683980484,1,0
516,-0.027209571301640548,0,0
1093,0.03347551735498443,0,0
6357,0.08190006746860944,1,0
4706,0.41431218271574394,1,0
870,0.11654359487376928,0,0
3051,-0.05187393401132331,0,0
6539,0.3235244083362409,0,0
3134,0.10866983703836103,0,0
6525,-0.11400317076775512,0,0
1939,0.26469552582880645,0,0
2648,0.2643060941850762,0,0
1123,0.17947749322732554,0,0
3541,0.16382592310515287,0,0
4837,0.6147038310387034,1,1
6290,0.2674054251479146,1,0
3189,0.14708750812294635,0,0
4780,0.45718023098896515,0,0
4141,0.43408034606167456,0,0
1913,0.2405554263061573,0,0
359,0.2458043693003083,0,0
2673,0.505130991672162,1,1
1456,0.6068293574670796,1,1
1355,0.2941666743822228,0,0
4062,0.570206849866076,1,1
3185,0.4520965423702458,1,0
4704,0.3973644874502993,0,0
2009,-0.0021547359434648597,0,0
1844,-0.052425454945707196,0,0
5858,-0.13227088863701966,0,0
2762,0.3611904055850747,0,0
2058,-0.05709615090655417,0,0
6524,0.5936656776658376,1,1
90,0.4187625599043798,0,0
5093,0.17787688327991621,0,0
496,0.08317573199296766,0,0
3756,0.41431218271574394,1,0
2469,-0.03640883170489445,0,0
5357,-0.14011425524390964,0,0
6802,0.5155754254626238,0,1
6128,0.5468150114007018,0,1
3156,0.09486533917063739,0,0
57,0.2423400012826736,0,0
1127,0.04339849434714148,0,0
6382,0.035610456702702235,0,0
5692,0.25276291742588697,0,0
2609,0.3718295971816891,1,0
1908,-0.169509229389667,0,0
3015,0.02862418328862356,0,0
1811,0.537512983070941,0,1
2704,0.005479597607822184,0,0
2080,0.09131281424464227,0,0
30,0.10660993355079854,0,0
5182,0.0966393000408031,0,0
2062,-0.0826801309158953,0,0
6003,-0.10551783981526613,0,0
919,0.29714407041021956,0,0
1863,0.11036762350086768,0,0
3887,0.5179846809137669,1,1
6799,0.1310136939043498,0,0
4515,0.5853861077468591,0,1
1732,0.29922865354158285,0,0
939,0.14708750812294635,0,0
542,0.22019854465617894,0,0
520,0.2301109925156955,0,0
2417,0.31878958424591963,0,0
6604,0.4803388495357766,0,0
3014,0.542888625227744,0,1
1513,0.4965935235428734,1,0
2832,0.06855264814728124,0,0
4223,0.5330105135329781,0,1
4295,-0.03284882450062511,0,0
2866,0.5572594451911635,0,1
2169,-0.10278833228496026,0,0
1958,0.5212583090638442,0,1
3890,0.12872535908415872,1,0
1860,-0.19755864109144955,0,0
2286,0.4023684342321955,0,0
6558,0.21311417494297902,1,0
2512,0.11464737806240502,0,0
92,-0.05251475207780484,0,0
1666,0.13144102330809715,0,0
877,-0.03227836293529946,0,0
6087,0.288413653997015,0,0
3742,0.33063432170739265,0,0
413,0.30498390393722763,0,0
2757,0.061011199887685816,0,0
2699,0.5198362452246705,0,1
2751,0.3203122786015878,0,0
2952,0.15174508135935472,0,0
5308,-0.07724189146762828,0,0
4984,0.15658812813038092,0,0
2091,-0.0702871083802799,0,0
1305,0.3883545235011614,0,0
2556,0.2699778061251996,0,0
3553,-0.052644338703656424,0,0
4286,0.5292264980687755,0,1
5545,0.5918371660299756,0,1
4759,0.6584971442800917,1,1
3327,0.1470429149969107,0,0
3235,-0.18193775093293946,0,0
5765,0.1393678329787309,1,0
2432,0.03412030465310115,0,0
1307,-0.024490325290860218,0,0
6303,0.1476338950199048,0,0
5689,0.5938149634577798,0,1
5519,0.29945013711958424,0,0
6019,0.236745867184003,0,0
1955,0.4344961999244599,0,0
3253,0.37837604933498653,0,0
5118,0.29833995019036286,0,0
760,0.22019854465617894,0,0
4281,0.08805849042589771,0,0
4884,0.44960846847085567,0,0
3486,0.2196932848241538,0,0
1039,0.35111674149162797,1,0
3336,-0.11400317076775512,0,0
1400,0.20975411086571716,0,0
1556,0.5387256141520819,1,1
6556,0.10130713479673698,0,0
5974,0.2353005516830491,0,0
1521,0.0237048269719964,0,0
1855,-0.022506237538049506,0,0
6659,-0.110740056710497,0,0
1648,0.34517477723912915,0,0
6432,0.12189476268173367,0,0
905,0.7256662165608253,1,1
4736,-0.027184586386802607,0,0
4954,0.6584971442800917,1,1
6203,0.020383039542376406,0,0
5028,0.08987812825831781,0,0
5309,-0.1277314942278198,0,0
263,0.13105294311370055,0,0
2099,0.30878438398082464,0,0
5878,0.09936880757110894,0,0
6586,0.026986423883953586,0,0
6936,0.6204804300732313,1,1
4172,0.22019854465617894,0,0
1549,0.41431218271574394,1,0
7003,0.23523411392222524,0,0
3900,-0.06774213307627985,0,0
3539,0.37775666444912764,1,0
401,0.07519605032058246,0,0
6916,0.014690098795048318,0,0
3536,0.5701204139388912,0,1
4547,0.296242315862926,0,0
3617,0.5228580332805999,1,1
5909,0.19340204898750726,0,0
1944,0.33325968327650013,1,0
2053,0.4011473204735335,1,0
4402,0.13162661847076426,1,0
318,0.6206674965169104,1,1
851,0.020596284455427764,0,0
4096,0.4889099588471723,0,0
2493,0.6152582131780003,0,1
1263,0.3737621065008141,1,0
6870,0.39070288668307174,0,0
4263,0.06289968906982646,0,0
2913,-0.03296118542133051,0,0
338,0.4220756471430673,0,0
5722,0.4860266990677547,1,0
6565,0.30146453275815693,0,0
5924,-0.1329537111230507,0,0
4010,0.22019854465617894,0,0
4294,0.3666584849104685,0,0
3906,0.6140001631074642,1,1
2073,0.1523097250181773,0,0
5158,-0.10486650765596539,0,0
6649,0.2116924380913452,0,0
5702,0.2778797988290345,1,0
1019,0.14980675413372668,0,0
846,-0.0027091180827618425,0,0
4910,0.07738819186454943,1,0
2463,0.6048137793875386,0,1
6057,0.30643602079891435,0,0
157,0.0001466865617218427,0,0
3337,0.6100359962827695,0,1
5671,-0.047422121808425505,0,0
2693,-0.13153197427141686,0,0
149,0.2659265972271291,0,0
1382,-0.0985210523083683,0,0
4731,0.01581333724741457,0,0
1413,0.011164912922427009,0,0
14,0.3875243254156356,0,0
3726,0.43411758946636625,1,0
4122,-0.14016001577109227,0,0
606,0.040149851111902106,0,0
4870,0.08603197125246635,0,0
791,-0.07205627245609446,0,0
2612,0.31471559071789285,0,0
4146,0.4638139232163043,1,0
2740,0.3698152015431164,1,0
5881,0.1009963054562533,0,0
130,0.5787026949113842,0,1
2880,0.5572594451911635,0,1
5839,0.692317337109899,0,1
4185,0.2914474283714425,0,0
3490,0.4490055481643912,1,0
461,0.409243391082085,0,0
1302,0.03048633610659259,0,0
4614,0.1888652432847936,0,0
5027,0.6321537052515788,1,1
3236,0.38939629844536794,0,0
5697,0.13916979287462053,1,0
2044,0.07847993999018538,0,0
1170,0.11654359487376928,0,0
3503,0.16005866045554412,0,0
1627,0.4912327783711309,0,0
5608,0.12237256584208653,0,0
4318,0.05647259818470577,0,0
3675,0.22019854465617894,0,0
5270,0.14028065937820672,1,0
4949,0.43721662837620856,1,0
786,-0.025614915192560074,0,0
3484,0.4333980823187574,0,0
6805,0.22145113370174993,0,0
4813,0.42349738399470116,0,0
150,0.41752431245039706,0,0
2147,0.20266974115251724,0,0
3701,0.13013325262942513,0,0
4331,-0.0996442907607345,0,0
4791,0.2810029945809807,0,0
1537,0.05776589468960553,0,0
1588,0.32589547160636795,0,0
3065,0.41431218271574394,0,0
2503,-0.043493201418094374,0,0
2219,0.5970593829252065,0,1
97,0.19930967707525538,1,0
4,0.6094816141434725,1,1
3999,0.6917629549706019,1,1
6949,0.06676360671359557,0,0
3837,0.4571706413444084,1,0
5622,0.4237504065298174,1,0
2808,0.5384128817887011,0,1
2088,0.17456665724614176,0,0
5577,-0.08004871968471067,0,0
5599,0.47019597644759853,1,0
3710,0.06281328930449265,0,0
6418,0.14244460346566612,0,0
585,0.7674439517226725,1,1
947,0.5343063442552511,0,1
2061,0.40973078388699463,1,0
6423,-0.1585104134599082,0,0
2337,0.3698367191903649,1,0
1558,0.5093921384217486,1,1
4579,0.4847027907972279,0,0
1604,0.12152567174866336,0,0
2687,0.3539324447394593,0,0
718,0.3451550514876804,0,0
6716,0.5772809580597502,1,1
125,0.2935445871723229,0,0
3192,-0.013923956565556755,0,0
5477,-0.012599169733926642,0,0
4751,0.21224682023064215,1,0
4326,0.6584971442800917,1,1
4827,0.5801638908516281,1,1
5410,0.20693041237554727,0,0
4630,0.2164490489351868,0,0
1584,0.22521183612328208,0,0
4885,0.26919000012443084,0,0
3666,0.429273983029229,1,0
987,0.2914474283714425,0,0
6296,0.17678162687912674,0,0
4285,0.03025979946073728,0,0
5848,-0.025390605344189285,0,0
5234,0.2562488030907701,0,0
114,0.07287816323600121,0,0
5766,0.18430877455469788,0,0
2971,-0.04285123707249532,0,0
4211,0.593689057328419,1,1
6704,0.27188872767754274,0,0
888,0.2619711457806007,0,0
6293,0.06355220367009543,0,0
5074,-0.12324819169819168,0,0
6509,0.5233454260855094,1,1
848,-0.06624307553786948,0,0
3578,0.13957699144696736,0,0
2326,0.03058447210758839,0,0
906,0.513687728986703,0,1
7010,0.7236506384812843,1,1
716,-0.008174336203242594,0,0
5155,0.321393002068405,0,0
3625,-0.1799536631801288,0,0
455,0.5650516223052324,0,1
2677,0.5453932745490679,1,1
3559,0.049823880210030785,0,0
3108,0.12949521220292834,0,0
5485,0.34394711829221175,0,0
2696,-0.17791494689773382,0,0
6009,0.4958886731706658,1,0
2413,0.15824526162267186,0,0
403,-0.16484936339561296,0,0
3362,0.4151960020074753,1,0
6484,0.11199512138601211,0,0
2373,-0.09318678981293427,0,0
6456,0.2084723131143535,0,0
6848,0.4259912758005944,0,0
1740,0.13227795063006498,0,0
722,0.6257026469684622,1,1
5932,0.6376082766991681,1,1
5609,0.49514722458768967,1,0
4476,0.22019854465617894,1,0
5371,0.22763474773016507,1,0
1066,-0.07222543560590797,0,0
6852,0.11448230726543299,0,0
4860,0.10930698233996569,0,0
6390,0.11250432625916906,0,0
2097,0.6167194091182445,0,1
6039,0.3875677868095061,1,0
3302,0.4181108007440079,1,0
6433,-0.11206484354212709,0,0
145,0.09945520733644272,0,0
5927,-0.06644883657138007,0,0
4602,-0.10550732572244695,0,0
2741,0.7198896175262975,1,1
1906,-0.0019061317095584174,0,0
5721,0.18271937847737896,0,0
3639,0.29530394580549846,0,0
1438,0.10026042050713069,0,0
5807,-0.1068426266468962,0,0
989,-0.04491493826972823,0,0
3750,0.2981664179784626,0,0
979,0.051980775319634215,0,0
3810,0.44106408525838,0,0
816,0.538232730428209,1,1
1160,0.5555246489886092,0,1
3093,0.1052574522058399,0,0
1488,0.29945013711958424,0,0
5272,0.6590515264193886,1,1
2992,0.23709626674019427,0,0
5131,0.46060728440061444,1,0
6028,0.36712285063962147,1,0
5396,-0.005640173992331576,0,0
558,0.5179846809137669,0,1
2574,0.5689997097038985,1,1
759,0.07275028163238109,0,0
3009,0.29136099244425795,0,0
5003,0.5891471287018458,1,1
4638,0.6361470807589239,1,1
5452,0.11610722255331543,0,0
2201,0.04605489049316402,0,0
3064,0.5102594931340854,0,1
4217,0.6557618188432827,0,1
1729,0.08712228436384033,0,0
2209,0.2993888912774537,0,0
2986,0.22685820981082655,0,0
6477,0.2740994846562809,0,0
1703,0.35806434852331626,0,0
4945,0.06877442056532637,0,0
4642,-0.0027091180827618425,1,0
4421,0.3532902752236441,0,0
1689,0.3119101489895871,0,0
5150,0.2862252114762116,0,0
3619,-0.08376161752200564,0,0
6157,0.20975411086571716,1,0
2639,0.33219491382307786,1,0
5837,0.4796351816045373,0,0
2878,0.5488305894802428,0,1
3880,0.18616066585314134,0,0
6161,0.3972596003558948,0,0
1105,0.5729260958768563,0,1
1370,0.14796476718660118,0,0
5481,0.7236506384812843,1,1
3298,0.20453189397048627,0,0
5883,0.2020289230860357,0,0
3814,-0.06624307553786948,0,0
4213,0.38417543299947066,1,0
1428,0.5122265330464589,1,1
6250,0.1629878133422167,0,0
4209,0.18573119098069654,0,0
2256,0.0582842262476819,0,0
4693,-0.05406607555529025,0,0
5160,0.570206849866076,0,1
6632,0.1497567809522973,1,0
3177,-0.15501050123726923,0,0
5915,-0.14261722612836022,0,0
955,0.3874201794544372,1,0
3858,0.033107485818251674,0,0
4029,-0.04399946043969945,0,0
6737,0.23390861135437954,0,0
6640,0.016583741939747647,0,0
3187,0.4861639867374719,0,0
5681,0.20914572953428742,0,0
3679,0.26469552582880645,1,0
6770,0.5715816098791354,0,1
6463,-0.11793584726571943,0,0
6063,-0.1478394430235911,0,0
3107,0.11654359487376928,0,0
2951,0.05906514503283419,0,0
1646,-0.16243282843834697,0,0
1615,-0.025107304721621315,0,0
9,-0.05824151306884527,0,0
6862,0.7079839877955916,1,1
5514,0.4151960020074753,0,0
6720,0.0682103284800673,0,0
4175,-0.20351977235228325,0,0
3467,0.7198896175262975,1,1
6822,0.4814525423097322,1,0
6855,-0.05582362666224562,0,0
275,0.545205881117849,1,1
6963,0.5897409699297531,0,1
1635,0.4085246425873257,0,0
3152,0.22812349198440826,0,0
5350,0.07360720581682699,0,0
3878,0.12176581176900012,0,0
5862,0.4866513795423815,0,0
3788,0.13938105119984642,1,0
1279,0.10022590076392024,0,0
6207,0.3471233659842827,1,0
4583,-0.05187393401132331,0,0
1639,0.4842869369344426,1,0
7015,0.5148014217606586,0,1
1198,0.06963151375813761,0,0
6084,0.5023850195624616,0,1
2148,0.19408746018002443,0,0
6302,0.5759834489006038,1,1
2430,0.1403008252490502,0,0
1991,0.11771611262650905,0,0
6974,0.31366646283938987,0,0
4574,0.23263734306272765,0,0
4566,0.12294876004963087,0,0
914,-0.06036952648333785,0,0
6198,0.08693378061594403,0,0
4637,-0.00994437884016048,0,0
5951,0.323747366735278,0,0
5286,0.5077832483485549,1,1
4418,-0.09099655129186447,1,0
3313,0.2914474283714425,0,0
3955,0.3831323066059305,0,0
8,0.4688882057689265,1,0
2721,0.6499852198087548,1,1
2789,0.5114077165012896,0,1
6252,0.14945678157860665,0,0
3165,-0.01029774722873994,0,0
4088,0.5655390151101419,1,1
3800,0.050439677199823646,0,0
3142,0.22019854465617894,1,0
630,0.4728362931675924,1,0
6806,-0.035669917339291674,0,0
687,0.4922551259393738,1,0
6703,0.5241321627771648,1,1
2916,0.025166702486605255,0,0
5168,0.5729260958768563,1,1
2255,0.29945013711958424,0,0
3045,0.12973156906054706,0,0
4414,0.11575420675156095,0,0
213,0.034840052010369105,0,0
4947,0.5546071885147706,1,1
5440,0.39156116231685134,0,0
2792,0.3679530487251474,0,0
1719,0.5727781615342475,0,1
1298,0.1839960421913171,0,0
4481,0.24487842254439662,0,0
1563,0.6368215400075127,0,1
4828,0.1673452942842235,0,0
5772,0.07343254537529817,0,0
1414,0.3878357063296826,0,0
3932,0.7184284215860534,1,1
1103,0.22272526319831495,0,0
6339,0.33903763376036167,1,0
6219,0.4965935235428734,1,0
775,0.13817423802520876,0,0
4120,0.32926612419069523,0,0
2085,0.6055552279705148,1,1
3502,0.12404868545932665,0,0
6148,-0.11197471600488576,0,0
124,0.20453189397048627,0,0
5114,0.39739694619143806,0,0
2678,-0.04163104860012534,0,0
3765,0.22597514369070684,0,0
5512,0.3991999141693482,0,0
5652,0.4855610664310075,0,0
3543,0.028253300459753536,0,0
3010,0.38881466521894537,0,0
6561,0.5729260958768563,0,1
532,0.6532749273848607,0,1
765,0.40588332700482316,0,0
5400,0.44759289039131467,0,0
6135,0.12176581176900012,0,0
2933,-0.039480658902414256,0,0
1961,0.1173652726238517,0,0
6578,0.1110607773392879,0,0
5777,-0.17213834786320595,0,0
5937,0.687095120214668,1,1
2592,0.16275415880863908,0,0
1881,0.28464057962670286,0,0
6514,-0.03926463634937811,0,0
1941,0.35937076775265464,0,0
4768,-0.09767232235299936,0,0
4699,0.09472038324612139,0,0
5704,0.5911627067813869,0,1
1469,0.37739127253922083,1,0
615,0.3233696316253353,0,0
1527,-0.13153197427141686,0,0
4880,-0.08789208629160064,0,0
5186,0.6116357204995252,1,1
711,0.3689582773586705,0,0
921,0.16275415880863908,0,0
7028,0.0074923144824501214,0,0
2959,0.35924837706799767,0,0
2799,-0.10093758726563426,0,0
6095,0.24902887514311378,0,0
4667,0.19222530736205545,0,0
5685,0.009467881899817426,0,0
6792,-0.07949433754541368,1,0
4131,0.26469552582880645,1,0
2763,0.17084212104299706,0,0
6882,0.09221994657904409,0,0
3086,0.48253927837507815,0,0
2659,-0.053295670862957105,0,0
1945,-0.12630975737618597,0,0
4997,0.562620190362906,1,1
4831,0.06950957882329598,0,0
2328,0.5453915961121945,0,1
1694,0.5293543796723957,1,1
4979,-0.04806293987490701,0,0
882,0.5440957653899214,1,1
2501,-0.13153197427141686,0,0
5300,0.587248260564828,1,1
2511,0.32551574990859977,0,0
1316,0.2333622244574211,0,0
4664,0.5380061937823536,1,1
6061,0.310422226950423,0,0
4166,0.04781083634786304,0,0
1721,0.44891712564938124,1,0
3743,0.3550323701491551,1,0
949,0.061690050852126393,0,0
776,0.35937076775265464,0,0
5392,-0.010189914282783569,0,0
1317,0.23641957748116862,0,0
6638,-0.12444760455821693,0,0
957,0.3550323701491551,0,0
3778,0.4572851180833697,0,0
362,-0.0206314868683323,0,0
2901,0.19181814382915158,0,0
2452,0.5968956961441089,1,1
3587,0.6720223107568825,1,1
3657,0.12240806484974359,0,0
6890,0.10362048458439255,0,0
5273,-0.11586532358572418,0,0
5556,0.5520372282959327,1,1
4866,0.4338932796179955,0,0
2552,-0.03249438548833561,0,0
1832,0.3191915743665948,1,0
5892,0.2969471662351337,0,0
2738,0.14295722139507272,0,0
1594,-0.052644338703656424,0,0
1793,-0.10486650765596539,0,0
767,0.11317330543883264,0,0
5185,-0.036203070671383876,0,0
4153,-0.025964397914432613,0,0
68,-0.016643202576337085,0,0
4106,0.6473329631323619,1,1
2850,0.3840586059486672,0,0
5845,0.6309248638636931,1,1
2287,0.28485665081012357,1,0
719,0.32011820069687125,0,0
6814,0.33306560537178365,0,0
309,0.07618137868991173,0,0
5482,0.10533470305975287,1,0
6993,0.5115553238563585,1,1
4026,0.06289968906982646,0,0
2979,0.08973840887521609,0,0
3993,-0.09044503035748058,0,0
3341,0.20143013139916272,0,0
4277,0.23858444135265194,0,0
2827,0.41431218271574394,0,0
493,0.12629257569249872,0,0
1007,0.564984632970845,1,1
4043,0.057261618311810196,0,0
5604,0.531148360715009,0,1
36,0.5938149634577798,1,1
3348,0.2915034657619014,0,0
2883,-0.15522652379030535,0,0
4193,0.19080357051042163,0,0
3111,0.26218320825268376,1,0
3480,-0.17473144628489787,0,0
4814,0.5002215071403119,1,1
1496,0.32549997575360823,0,0
5253,0.24842049381168405,0,0
6901,0.24054634722760007,0,0
1946,0.34951899274913173,0,0
5375,0.41028651747562517,1,0
5174,0.5559149591934428,1,1
4826,0.7308884334560563,1,1
4591,0.28894445748699193,0,0
2553,0.36850655230334106,0,0
6610,0.5663593929839045,0,1
3219,0.07455101959985422,0,0
1650,0.5256234327662638,1,1
2540,0.07334412286028824,0,0
3385,0.6277182250480032,1,1
2319,0.5617779941551552,0,1
2109,0.09357773436280875,0,0
4357,0.16469248603426712,0,0
5787,0.3566516907502396,1,0
5619,0.5311710608032258,0,1
2279,-0.03173209146015124,0,0
4262,0.49155145800813455,1,0
5235,0.5292264980687755,0,1
4046,0.21642232283626675,0,0
4138,0.6584971442800917,1,1
5516,0.3984189953841959,1,0
3398,0.09364201041821775,0,0
383,0.587725391850212,1,1
4467,0.009873603005352671,0,0
839,-0.0389538070088945,0,0
1849,0.4385611143739294,1,0
5115,-0.06302617520265406,0,0
6179,0.7152217827703635,1,1
878,-0.09640616161831429,0,0
1087,0.28934397935045497,0,0
6541,0.07399663746055726,0,0
5735,-0.07744765250113883,0,0
4107,0.09438092478382056,0,0
706,-0.1177513150394136,0,0
1606,0.1185155632815044,0,0
4904,0.47355468907552684,0,0
6752,0.11452919923519658,0,0
3992,-0.042626051875973646,0,0
4735,0.14580466754292798,0,0
3449,0.2548003401402162,0,0
4433,0.6257026469684622,0,1
552,-0.04275428705249157,0,0
4665,-0.02616929733185707,0,0
6000,-0.1389148423838844,0,0
4422,0.3966675510237873,0,0
5507,0.08853629358625051,0,0
4094,0.4949323009106936,0,0
6096,0.6969851718658329,0,1
5571,0.13230152927938502,0,0
4841,0.46802109126624875,0,0
3393,0.23913082824961038,0,0
5177,0.5408730471482028,1,1
1545,0.30918316030976184,0,0
3351,0.26070438033189813,1,0
3998,0.08533924441511738,0,0
5066,0.208100068923374,0,0
4919,-0.12625742160424733,0,0
580,0.16275415880863908,1,0
2685,0.14732116265652404,0,0
6059,0.031091907738710664,0,0
6774,0.22019854465617894,0,0
4148,0.0915814495010345,0,0
1192,0.6538293095241577,1,1
3561,0.4355393263180001,1,0
5018,-0.18517588007535968,0,0
6727,0.5044721365841269,0,1
3595,0.6917629549706019,1,1
4853,0.10384479443276334,0,0
1177,0.0827071536095679,0,0
4298,0.32281524948603835,0,0
693,0.5772809580597502,1,1
1115,0.13266183318689417,0,0
5116,0.570206849866076,1,1
4646,0.5434549473234398,0,1
6825,0.5055916583781516,0,1
2316,0.20453189397048627,0,0
384,0.38751641373822526,0,0
2386,0.15048209194341866,0,0
395,-0.03490977416648409,0,0
1142,0.6177845637250324,0,1
1569,0.3679530487251474,0,0
4274,-0.048715418313325265,0,0
2372,-0.10551783981526613,0,0
6308,0.564984632970845,0,1
5245,-0.13023446511227035,0,0
1801,0.43378839252359097,0,0
574,0.551169546596056,0,1
651,0.5434549473234398,1,1
3624,0.3514515020682566,0,0
3522,-0.0605815889554209,0,0
937,0.5448931487544681,1,1
4500,0.06136339133967681,0,0
1557,0.30914253382000456,0,0
4688,0.2929526082868201,0,0
5908,0.22019854465617894,1,0
3995,0.40333891044393694,1,0
3073,0.14045425051062216,0,0
2292,-0.016740152596340825,0,0
4113,-0.010862390887562495,0,0
4628,0.23798008603192564,0,0
4008,0.08258368266086022,0,0
4943,-0.08768632525809006,0,0
5100,0.570206849866076,1,1
3910,0.4449406337149217,1,0
6353,0.23927759519107208,0,0
3563,0.44819737829211326,0,0
111,-0.13493779887586138,0,0
2794,0.2296991646636135,0,0
167,-0.012599169733926642,0,0
5709,0.052368855514030865,0,0
6419,0.2445309193781081,0,0
6460,0.3141702876571531,1,0
3775,0.5585552759134367,1,1
2280,0.6019699786967311,0,1
1434,0.48119479237735735,1,0
973,0.3432870807632083,1,0
2199,-0.07167105346661098,0,0
1336,0.4970958133328433,0,0
2331,0.05564248366410815,0,0
5588,0.41431218271574394,1,0
6444,0.14244460346566612,1,0
4210,0.21458287010651447,0,0
118,-0.040892134234522565,0,0
3741,0.019106375828438257,0,0
2985,0.23851673628204892,0,0
379,0.3276569939078424,0,0
4451,0.537666408332513,0,1
6872,0.05653211001230447,0,0
836,-0.1871599678281704,0,0
3392,0.006260516392974466,0,0
700,0.1643737450163732,0,0
4520,0.2914474283714425,1,0
198,0.18690865929730144,0,0
3003,0.43031710942276924,1,0
75,0.25497467359420517,0,0
5688,0.0036048469381050052,0,0
3072,-0.05713139734091764,0,0
1470,0.18364302638956265,0,0
1705,0.32187939601080595,0,0
5263,0.25927094373352444,0,0
6854,0.21497632776094805,0,0
301,0.7517773010369798,1,1
140,0.016038265289259966,0,0
2486,0.31470958923293,0,0
2200,0.2804721910910038,0,0
154,0.19408746018002443,0,0
1111,0.4533975669740963,1,0
5975,0.551889293953324,1,1
4743,0.07466171375072367,0,0
2828,0.16799654157471344,0,0
5038,0.10731027047712016,0,0
3905,0.4207690589053636,1,0
2065,0.4683324721802959,0,0
977,0.5446501475292184,0,1
4554,0.41363540989179,0,0
5811,0.14598784831990017,0,0
5946,-0.0827156299235524,1,0
4656,0.531702742854306,0,1
1136,-0.13817592801828157,0,0
