Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
461,9.26,11.70%,0.0061,,
462,16.42,4.95%,0.0029,,
463,17.44,7.15%,0.0044,,
464,13.68,5.65%,0.0045,,
465,0.87,16.26%,0.0072,,
466,11.86,21.94%,0.0086,,
467,7.23,19.56%,0.0084,,
468,3.76,22.15%,0.0031,,
469,19.91,8.86%,0.0079,,
470,19.80,39.34%,0.0099,,
471,20.00,14.32%,0.0071,,
472,24.13,3.05%,0.0013,,
473,7.55,12.75%,0.0090,,
474,5.89,5.71%,0.0053,,
475,23.96,37.06%,0.0017,,
476,13.42,29.38%,0.0066,,
477,15.49,37.89%,0.0048,,
478,15.55,10.19%,0.0027,,
479,20.51,39.36%,0.0037,,
480,4.65,33.18%,0.0012,,
481,22.71,3.42%,0.0004,,
482,2.05,10.38%,0.0001,,
483,16.56,1.98%,0.0015,,
484,24.01,36.10%,0.0058,,
485,23.02,9.10%,0.0006,,
486,8.97,32.24%,0.0018,,
487,13.88,39.92%,0.0060,,
488,18.85,16.45%,0.0011,,
489,21.34,24.76%,0.0074,,
490,6.59,12.45%,0.0076,,
491,23.48,18.00%,0.0042,,
492,18.09,13.18%,0.0012,,
493,24.38,23.06%,0.0003,,
494,8.36,38.75%,0.0001,,
495,18.87,28.97%,0.0092,,
496,21.33,19.74%,0.0018,,
497,4.94,0.80%,0.0046,,
498,9.45,4.01%,0.0035,,
499,12.80,23.68%,0.0006,,
500,24.25,29.88%,0.0027,,
501,7.77,4.90%,0.0047,,
502,10.42,3.35%,0.0001,,
503,16.48,29.40%,0.0047,,
504,19.35,2.51%,0.0090,,
505,21.98,5.39%,0.0061,,
506,13.60,35.45%,0.0047,,
507,7.29,16.18%,0.0040,,
508,10.15,1.36%,0.0045,,
509,5.39,22.31%,0.0032,,
510,21.44,17.91%,0.0037,,
511,23.40,29.22%,0.0050,,
512,5.89,35.80%,0.0056,,
513,20.24,34.52%,0.0045,,
514,9.50,39.91%,0.0003,,
515,3.37,25.60%,0.0053,,
516,24.77,2.43%,0.0082,,
517,0.22,29.93%,0.0077,,
518,14.57,0.26%,0.0001,,
519,2.24,37.10%,0.0011,,
520,23.54,20.69%,0.0026,,
521,18.04,37.67%,0.0081,,
522,9.49,37.45%,0.0081,,
523,10.65,10.55%,0.0046,,
524,7.22,0.51%,0.0058,,
525,8.00,2.23%,0.0042,,
526,2.07,32.81%,0.0029,,
527,2.12,9.52%,0.0030,,
528,11.50,16.10%,0.0043,,
529,13.47,27.31%,0.0012,,
530,20.43,19.11%,0.0059,,
531,7.35,35.33%,0.0037,,
532,3.85,5.49%,0.0089,,
533,23.62,14.67%,0.0021,,
534,7.20,33.12%,0.0041,,
535,16.00,33.50%,0.0020,,
536,1.11,31.53%,0.0014,,
537,18.71,36.05%,0.0094,,
538,19.40,14.22%,0.0063,,
539,4.83,23.21%,0.0018,,
540,3.15,31.35%,0.0048,,
541,8.79,13.47%,0.0053,,
542,10.49,39.32%,0.0071,,
543,20.23,12.70%,0.0002,,
544,11.53,7.46%,0.0022,,
545,7.18,31.18%,0.0018,,
546,21.12,19.59%,0.0027,,
547,2.62,6.09%,0.0026,,
548,1.96,9.92%,0.0093,,
549,10.32,6.96%,0.0008,,
550,6.69,35.20%,0.0012,,
551,6.46,39.26%,0.0082,,
552,5.58,10.18%,0.0022,,
553,5.91,39.52%,0.0068,,
554,2.13,14.00%,0.0051,,
555,1.12,30.02%,0.0007,,
556,12.70,1.46%,0.0058,,
557,14.31,7.12%,0.0039,,
558,13.02,8.21%,0.0091,,
559,20.87,2.52%,0.0052,,
560,24.51,28.54%,0.0018,,
561,14.89,33.26%,0.0075,,
562,22.45,32.05%,0.0042,,
563,22.72,8.08%,0.0003,,
564,14.06,9.98%,0.0040,,
565,12.43,13.76%,0.0086,,
566,8.95,7.16%,0.0045,,
567,15.76,19.12%,0.0087,,
568,17.78,31.37%,0.0009,,
569,12.60,0.09%,0.0075,,
570,5.85,8.15%,0.0046,,
571,21.79,35.55%,0.0095,,
572,13.62,39.64%,0.0089,,
573,14.97,1.90%,0.0083,,
574,5.50,9.26%,0.0078,,
575,13.66,35.43%,0.0088,,
576,15.63,1.91%,0.0020,,
577,8.17,39.39%,0.0016,,
578,18.91,21.49%,0.0040,,
579,22.32,21.83%,0.0063,,
580,14.23,1.35%,0.0002,,
581,15.65,10.73%,0.0066,,
582,24.99,33.48%,0.0010,,
583,12.15,31.59%,0.0053,,
584,17.66,23.34%,0.0019,,
585,4.01,37.85%,0.0016,,
586,19.36,3.05%,0.0032,,
587,2.14,12.72%,0.0089,,
588,1.39,8.89%,0.0033,,
589,9.61,11.12%,0.0057,,
590,7.43,21.73%,0.0063,,
591,15.20,34.75%,0.0074,,
592,8.56,31.22%,0.0090,,
593,6.31,17.03%,0.0026,,
594,20.51,22.63%,0.0067,,
595,2.83,39.82%,0.0050,,
596,19.55,21.11%,0.0026,,
597,23.26,25.28%,0.0088,,
598,6.74,22.34%,0.0093,,
599,10.15,14.27%,0.0036,,
600,15.94,39.18%,0.0034,,
601,2.22,4.55%,0.0014,,
602,3.32,25.28%,0.0036,,
603,12.34,37.73%,0.0019,,
604,18.92,16.51%,0.0061,,
605,7.98,18.90%,0.0035,,
606,22.43,10.91%,0.0020,,
607,22.84,34.05%,0.0004,,
608,22.94,32.37%,0.0099,,
609,2.88,37.48%,0.0086,,
610,1.26,31.48%,0.0019,,
611,10.70,7.26%,0.0083,,
612,24.99,28.26%,0.0085,,
613,15.68,0.93%,0.0077,,
614,10.69,32.08%,0.0028,,
615,14.59,39.93%,0.0032,,
616,20.32,0.01%,0.0099,,
617,2.19,14.69%,0.0026,,
618,19.88,7.52%,0.0059,,
619,11.73,36.89%,0.0028,,
620,6.01,5.49%,0.0045,,
621,23.58,23.95%,0.0051,,
622,23.83,20.17%,0.0001,,
623,23.15,28.62%,0.0041,,
624,15.41,29.03%,0.0078,,
625,7.20,17.47%,0.0087,,
626,1.56,39.78%,0.0021,,
627,1.50,30.67%,0.0033,,
628,23.77,10.07%,0.0067,,
629,3.52,19.13%,0.0018,,
630,6.64,32.31%,0.0029,,
631,10.35,2.42%,0.0038,,
632,14.27,1.53%,0.0031,,
633,5.41,18.77%,0.0027,,
634,4.08,10.79%,0.0057,,
635,24.93,39.55%,0.0090,,
636,22.98,34.75%,0.0021,,
637,1.30,36.81%,0.0026,,
638,18.38,8.72%,0.0039,,
639,0.00,8.57%,0.0075,,
640,7.83,24.40%,0.0084,,
641,9.97,4.62%,0.0035,,
642,7.13,23.22%,0.0037,,
643,13.02,31.24%,0.0096,,
644,23.30,34.18%,0.0044,,
645,6.80,27.86%,0.0053,,
646,14.87,17.15%,0.0058,,
647,22.26,32.21%,0.0081,,
648,12.31,36.40%,0.0024,,
649,3.97,35.55%,0.0076,,
650,22.04,16.61%,0.0058,,
651,20.76,4.03%,0.0100,,
652,16.64,38.56%,0.0011,,
653,8.03,1.72%,0.0005,,
654,18.60,37.43%,0.0059,,
655,10.22,5.50%,0.0094,,
656,3.91,11.23%,0.0071,,
657,20.98,19.77%,0.0051,,
658,14.78,27.75%,0.0012,,
659,13.96,23.55%,0.0058,,
660,14.59,34.45%,0.0068,,
661,21.50,8.60%,0.0073,,
662,1.14,29.92%,0.0048,,
663,16.39,1.85%,0.0096,,
664,6.42,6.22%,0.0096,,
665,2.40,2.75%,0.0003,,
666,20.78,19.53%,0.0055,,
667,22.66,29.08%,0.0071,,
668,24.74,2.87%,0.0038,,
669,3.93,1.11%,0.0021,,
670,21.43,36.61%,0.0042,,
671,22.91,21.41%,0.0079,,
672,0.86,19.70%,0.0043,,
673,0.06,3.13%,0.0087,,
674,12.80,24.41%,0.0083,,
675,2.57,39.55%,0.0042,,
676,17.85,2.58%,0.0062,,
677,12.15,39.47%,0.0071,,
678,1.40,2.10%,0.0020,,
679,1.31,38.88%,0.0047,,
680,18.73,37.20%,0.0001,,
681,1.59,11.64%,0.0020,,
682,7.71,8.41%,0.0045,,
683,18.51,17.98%,0.0089,,
684,21.60,23.93%,0.0090,,
685,5.46,21.40%,0.0051,,
686,20.62,6.67%,0.0088,,
687,6.07,23.74%,0.0067,,
688,9.08,14.56%,0.0051,,
689,18.08,5.58%,0.0082,,
690,20.78,20.32%,0.0023,,
691,8.05,3.29%,0.0026,,
692,17.38,29.54%,0.0083,,
693,7.04,8.39%,0.0069,,
694,17.03,7.63%,0.0007,,
695,12.17,38.75%,0.0092,,
696,19.65,29.49%,0.0098,,
697,12.67,16.75%,0.0036,,
698,9.55,14.84%,0.0098,,
699,10.60,6.21%,0.0043,,
700,7.85,21.15%,0.0082,,
701,17.87,30.92%,0.0033,,
702,17.14,27.64%,0.0064,,
703,24.95,17.29%,0.0018,,
704,6.03,29.22%,0.0095,,
705,8.26,22.56%,0.0083,,
706,12.74,37.06%,0.0099,,
707,6.52,19.86%,0.0067,,
708,9.84,35.21%,0.0051,,
709,15.11,23.98%,0.0045,,
710,24.68,36.20%,0.0030,,
711,5.96,20.18%,0.0013,,
712,1.92,37.09%,0.0010,,
713,16.03,38.86%,0.0077,,
714,2.27,37.87%,0.0034,,
715,15.86,39.96%,0.0009,,
716,19.72,15.60%,0.0014,,
717,3.33,30.95%,0.0013,,
718,5.03,32.94%,0.0006,,
719,3.14,15.18%,0.0059,,
720,4.53,10.91%,0.0060,,
721,1.27,36.91%,0.0099,,
722,19.85,22.18%,0.0098,,
723,16.30,31.51%,0.0024,,
724,5.01,26.52%,0.0005,,
725,21.50,25.66%,0.0065,,
726,0.13,17.69%,0.0063,,
727,8.97,2.73%,0.0047,,
728,17.51,28.85%,0.0097,,
729,11.12,23.70%,0.0057,,
730,2.87,8.30%,0.0050,,
731,2.37,11.72%,0.0093,,
732,0.78,23.60%,0.0009,,
733,14.09,28.42%,0.0005,,
734,21.78,0.25%,0.0056,,
735,10.47,18.84%,0.0066,,
736,12.12,0.35%,0.0049,,
737,18.47,25.17%,0.0014,,
738,0.77,31.03%,0.0069,,
739,14.79,4.66%,0.0023,,
740,22.30,4.40%,0.0076,,
741,17.04,28.22%,0.0060,,
742,22.59,29.22%,0.0059,,
743,9.42,14.66%,0.0097,,
744,23.44,26.26%,0.0089,,
745,0.96,37.37%,0.0019,,
746,17.72,32.88%,0.0064,,
747,2.38,4.11%,0.0072,,
748,19.49,38.76%,0.0076,,
749,24.88,17.99%,0.0025,,
750,24.52,30.27%,0.0058,,
751,1.56,29.39%,0.0056,,
752,23.45,30.78%,0.0059,,
753,24.07,7.95%,0.0093,,
754,7.27,20.46%,0.0027,,
755,7.38,15.80%,0.0041,,
756,18.62,25.16%,0.0036,,
757,2.61,33.77%,0.0059,,
758,7.53,8.45%,0.0090,,
759,6.15,3.79%,0.0062,,
760,3.70,28.15%,0.0063,,
761,1.38,3.14%,0.0059,,
762,22.57,39.37%,0.0061,,
763,9.85,6.53%,0.0097,,
764,21.95,1.38%,0.0005,,
765,14.38,10.55%,0.0014,,
766,15.00,9.71%,0.0042,,
767,20.61,5.10%,0.0090,,
768,3.81,39.48%,0.0018,,
769,7.42,10.90%,0.0048,,
770,22.31,36.15%,0.0094,,
771,4.63,21.60%,0.0010,,
772,1.19,32.93%,0.0083,,
773,12.97,22.99%,0.0069,,
